ts,prob,reason
1764862530.6180162,0.005,-
1764862531.114555,0.005,-
1764862531.6157665,0.01,-
1764862532.1152415,0.005,-
1764862532.614183,0.005,-
1764862533.114249,0.01,-
1764862533.6360795,0.02,-
1764862534.13512,0.55,-
1764862534.6402168,0.865,-
1764862535.1307387,0.505,-
1764862535.6353035,0.125,-
1764862536.1355271,0.17,-
1764862536.635745,0.48,-
1764862537.1343803,0.49,-
1764862537.6408317,0.01,-
1764862538.1345751,0.015,-
1764862538.6344914,0.005,-
1764862539.1379905,0.005,-
1764862539.638769,0.005,-
1764862540.138173,0.005,-
1764862540.6799448,0.005,-
1764862541.1373587,0.005,-
1764862541.6799736,0.005,-
1764862542.1391158,0.005,-
1764862542.6399229,0.005,-
1764862543.1369493,0.005,-
1764862543.6415915,0.005,-
1764862544.1409209,0.02,-
1764862544.645516,0.02,-
1764862545.1392126,0.025,-
1764862545.6411061,0.02,-
1764862546.141925,0.02,-
1764862546.6408508,0.02,-
1764862547.1440194,0.02,-
1764862547.6440244,0.02,-
1764862548.14322,0.015,-
1764862548.643406,0.015,-
1764862549.1425881,0.02,-
1764862549.6444974,0.02,-
1764862550.1450644,0.025,-
1764862550.6455734,0.02,-
1764862551.1444721,0.02,-
1764862551.6443977,0.045,-
1764862552.1490614,0.05,-
1764862552.6441123,0.055,-
1764862553.1452127,0.015,-
1764862553.6448553,0.05,-
1764862554.1454103,0.06,-
1764862554.6449823,0.415,-
1764862555.1499467,0.99,-
1764862555.6479812,0.995,-
1764862556.1465535,1.0,-
1764862557.0200887,0.995,-
1764862557.146673,1.0,-
1764862557.6474876,1.0,-
1764862558.1460476,1.0,-
1764862558.651776,1.0,-
1764862559.148546,1.0,-
1764862559.6486244,0.995,-
1764862560.1490757,1.0,-
1764862560.6480606,1.0,-
1764862561.148619,0.995,-
1764862561.6499612,1.0,-
1764862562.1481388,1.0,-
1764862562.649194,0.98,-
1764862563.1483371,0.995,-
1764862563.6489742,0.99,-
1764862564.1493025,0.975,-
1764862564.850571,0.98,-
1764862565.148754,1.0,-
1764862565.6502512,1.0,-
1764862566.1490471,0.995,-
1764862566.6490378,1.0,-
1764862567.1498723,0.98,-
1764862567.652565,0.99,-
1764862568.1567588,1.0,-
1764862568.6506836,1.0,-
1764862569.1511478,1.0,-
1764862569.658102,0.99,-
1764862570.1539047,0.99,-
1764862570.651368,0.995,-
1764862571.154088,1.0,-
1764862571.655288,0.975,-
1764862572.1549041,0.975,-
1764862572.8738117,1.0,-
1764862573.156607,1.0,-
1764862573.653939,0.975,-
1764862574.1546576,0.975,-
1764862574.655733,1.0,-
1764862575.1543162,0.98,-
1764862575.653975,1.0,-
1764862576.1538925,1.0,-
1764862576.6570857,1.0,-
1764862577.1557324,1.0,-
1764862577.6566117,0.995,-
1764862578.1553845,0.995,-
1764862578.6567283,0.995,-
1764862579.1579945,0.99,-
1764862579.6557417,1.0,-
1764862580.1574316,0.98,-
1764862580.8768823,1.0,-
1764862581.1636388,0.98,-
1764862581.6582327,1.0,-
1764862582.1576316,0.995,-
1764862582.6633356,1.0,-
1764862583.1577952,1.0,-
1764862583.657279,0.98,-
1764862584.1605747,0.875,-
1764862584.662608,0.845,-
1764862585.1545372,0.545,-
1764862585.6618652,0.485,-
1764862586.1603484,0.455,-
1764862586.6605527,0.505,-
1764862587.159588,0.515,-
1764862587.6645536,0.52,-
1764862588.1636584,0.53,-
1764862588.6608977,0.535,-
1764862589.1641448,0.52,-
1764862589.6644824,0.8,-
1764862590.163644,0.515,-
1764862590.6626582,0.525,-
1764862591.1596143,0.52,-
1764862591.669242,0.565,-
1764862592.1610007,0.42,-
1764862592.662017,0.39,-
1764862593.163804,0.43,-
1764862593.6645794,0.56,-
1764862594.1651573,0.565,-
1764862594.7666085,0.555,-
1764862595.1636124,0.495,-
1764862595.6655612,0.355,-
1764862596.1660829,0.45,-
1764862596.6711848,0.51,-
1764862597.165945,0.515,-
