ts,prob,reason
1764866457.4276342,0.025,-
1764866457.9252064,0.025,-
1764866458.4215002,0.025,-
1764866458.929797,0.025,-
1764866459.4270184,0.055,-
1764866459.9292219,0.78,-
1764866460.4242077,0.98,-
1764866460.9252908,1.0,-
1764866461.648435,0.99,-
1764866461.9263306,0.98,-
1764866462.4286847,0.98,-
1764866462.9254043,1.0,-
1764866463.4278727,0.965,-
1764866463.9259996,0.985,-
1764866464.4241364,0.98,-
1764866465.146015,1.0,-
1764866465.4262252,1.0,-
1764866466.038076,1.0,-
1764866466.5226974,0.965,-
1764866466.9268684,0.975,-
1764866467.5758488,0.99,-
1764866467.9259863,1.0,-
1764866468.5549588,0.985,-
1764866468.9509602,0.995,-
1764866469.728919,0.99,-
1764866469.929822,0.99,-
1764866470.4281237,0.995,-
1764866470.9278142,0.99,-
1764866471.4264064,0.98,-
1764866471.9442432,0.965,-
1764866472.425853,0.975,-
1764866472.9388003,0.985,-
1764866473.436742,0.97,-
1764866473.9294295,1.0,-
1764866474.4297845,0.99,-
1764866474.9309711,0.98,-
1764866475.4315693,0.33,-
1764866475.9331143,0.075,-
1764866476.4306955,0.025,-
1764866476.9374368,0.025,-
1764866477.4310033,0.025,-
1764866477.932839,0.025,-
1764866478.4314716,0.025,-
1764866478.9419954,0.025,-
1764866479.4341311,0.025,-
1764866479.9342701,0.025,-
1764866480.4351156,0.025,-
1764866481.0590692,0.025,-
1764866481.4398837,0.025,-
1764866481.9405057,0.025,-
1764866482.436239,0.025,-
1764866482.9345236,0.025,-
1764866483.4374425,0.025,-
1764866483.9359298,0.025,-
1764866484.4358134,0.025,-
1764866484.9367213,0.025,-
1764866485.4348998,0.025,-
1764866485.9464245,0.025,-
1764866486.4368849,0.025,-
1764866486.9411168,0.025,-
1764866487.439244,0.025,-
1764866487.9410546,0.025,-
1764866488.435457,0.025,-
1764866488.9388075,0.025,-
1764866489.4374557,0.025,-
1764866489.944415,0.025,-
1764866490.4405665,0.025,-
1764866490.9969628,0.025,-
1764866491.5504782,0.035,-
1764866491.9652245,0.06,-
1764866492.4382453,0.68,-
1764866492.942264,0.95,-
1764866493.4391968,0.925,-
1764866494.1408594,0.905,-
1764866494.4444797,0.89,-
1764866494.9430692,0.91,-
1764866495.443962,0.915,-
1764866495.9400325,0.935,-
1764866496.440115,0.935,-
1764866496.940983,0.9,-
1764866497.4500744,0.935,-
1764866497.9848168,0.89,-
1764866498.4483922,0.185,-
1764866498.9441204,0.04,-
1764866499.4434853,0.03,-
1764866499.9433203,0.03,-
