ts,prob,reason
1764862019.220223,0.035,-
1764862019.710527,0.035,-
1764862020.2115226,0.035,-
1764862020.714151,0.035,-
1764862021.2122788,0.035,-
1764862021.713789,0.035,-
1764862022.213526,0.035,-
1764862022.7150562,0.04,-
1764862023.2455244,0.03,-
1764862023.732018,0.035,-
1764862024.2321045,0.035,-
1764862024.734574,0.04,-
1764862025.2357469,0.035,-
1764862025.734156,0.035,-
1764862026.2326818,0.03,-
1764862026.7336133,0.055,-
1764862027.2341404,0.065,-
1764862027.7333302,0.07,-
1764862028.2368035,0.035,-
1764862028.7384653,0.035,-
1764862029.2362454,0.04,-
1764862029.7380342,0.04,-
1764862030.236956,0.03,-
1764862030.7361205,0.045,-
1764862031.2350883,0.045,-
1764862031.7375124,0.04,-
1764862032.24001,0.04,-
1764862032.735549,0.03,-
1764862033.2392228,0.04,-
1764862033.7421565,0.055,-
1764862034.2373626,0.055,-
1764862034.737701,0.05,-
1764862035.2349987,0.04,-
1764862035.7360444,0.045,-
1764862036.2364666,0.04,-
1764862036.7384589,0.03,-
1764862037.2392771,0.04,-
1764862037.7385082,0.04,-
1764862038.2490993,0.04,-
1764862038.7393847,0.035,-
1764862039.239171,0.03,-
1764862039.7368796,0.035,-
1764862040.2439744,0.03,-
1764862040.74049,0.03,-
1764862041.2408795,0.03,-
1764862041.7495089,0.03,-
1764862042.2389998,0.03,-
1764862042.7769475,0.035,-
1764862043.2750213,0.03,-
1764862043.7797215,0.025,-
1764862044.2446349,0.03,-
1764862044.742333,0.03,-
1764862045.242773,0.035,-
1764862045.7429218,0.03,-
1764862046.2431355,0.025,-
1764862046.7506044,0.03,-
1764862047.2433403,0.03,-
1764862047.7455578,0.035,-
1764862048.2480433,0.03,-
1764862048.7474582,0.035,-
1764862049.246923,0.03,-
1764862049.74437,0.03,-
1764862050.2787826,0.035,-
1764862050.7497163,0.035,-
1764862051.2454798,0.05,-
1764862051.7440176,0.045,-
1764862052.2468433,0.045,-
1764862052.7479491,0.035,-
1764862053.242585,0.03,-
1764862053.7469926,0.035,-
1764862054.248243,0.045,-
1764862054.7485032,0.405,-
1764862055.249236,0.885,-
1764862055.747543,1.0,-
1764862056.2499118,0.99,-
1764862057.013748,0.99,-
1764862057.253786,0.99,-
1764862057.7484078,1.0,-
1764862058.2903726,1.0,-
1764862058.7498398,1.0,-
1764862059.2504456,1.0,-
1764862059.7481828,1.0,-
1764862060.350177,1.0,-
1764862060.7500527,1.0,-
1764862061.2540367,1.0,-
1764862061.749502,1.0,-
1764862062.2503626,1.0,-
1764862062.7509782,1.0,-
1764862063.2508035,1.0,-
1764862063.7498658,1.0,-
1764862064.2524328,1.0,-
1764862064.9887228,1.0,-
1764862065.2506647,1.0,-
1764862065.7530744,1.0,-
1764862066.2540338,1.0,-
1764862066.752235,1.0,-
1764862067.2564201,0.98,-
1764862067.7514007,1.0,-
1764862068.2521994,1.0,-
1764862068.7573757,1.0,-
1764862069.2558434,1.0,-
1764862069.7540426,1.0,-
1764862070.255942,1.0,-
1764862070.7635455,1.0,-
1764862071.2539618,1.0,-
1764862071.7557468,1.0,-
1764862072.2562652,1.0,-
1764862073.3474975,1.0,-
1764862073.3604739,1.0,-
1764862073.7592237,1.0,-
1764862074.2567542,1.0,-
1764862074.7604759,1.0,-
1764862075.2578008,0.98,-
1764862075.7557132,1.0,-
1764862076.2589598,1.0,-
1764862076.7637367,0.995,-
1764862077.26346,1.0,-
1764862077.755815,0.98,-
1764862078.2566698,1.0,-
1764862078.7638977,0.995,-
1764862079.362737,0.985,-
1764862079.756706,1.0,-
1764862080.2583554,1.0,-
1764862080.995754,1.0,-
1764862081.257853,0.995,-
1764862081.7648692,1.0,-
1764862082.258059,1.0,-
1764862082.7600555,1.0,-
1764862083.2604923,0.98,-
1764862083.7592907,1.0,-
1764862084.259826,0.975,-
1764862084.7626493,1.0,-
1764862085.2632966,1.0,-
1764862085.7835653,1.0,-
1764862086.2610726,1.0,-
1764862086.7629962,0.98,-
1764862087.263515,1.0,-
1764862087.7620885,1.0,-
1764862088.2625227,1.0,-
1764862088.9786658,1.0,-
1764862089.265424,1.0,-
1764862089.7647629,1.0,-
1764862090.2622023,1.0,-
1764862090.7656531,0.985,-
1764862091.263608,0.955,-
1764862091.7636833,0.685,-
1764862092.264829,0.355,-
1764862092.7665575,0.81,-
1764862093.27105,0.5,-
1764862093.7658484,0.035,-
1764862094.2677407,0.035,-
1764862094.766326,0.025,-
1764862095.2646554,0.025,-
1764862095.7653048,0.03,-
1764862096.2687519,0.025,-
1764862096.767,0.025,-
1764862097.2660093,0.025,-
1764862097.7656422,0.02,-
1764862098.2666726,0.02,-
1764862098.767227,0.02,-
1764862099.2698855,0.025,-
1764862099.7666264,0.025,-
1764862100.2676709,0.02,-
1764862100.7669594,0.02,-
1764862101.2656307,0.025,-
1764862101.7712133,0.025,-
1764862102.271071,0.025,-
1764862102.771767,0.025,-
1764862103.2687087,0.025,-
1764862103.7703602,0.505,-
1764862104.2714381,0.545,-
1764862104.769028,0.265,-
