ts,prob,reason
1764862378.7149494,0.03,-
1764862379.2023485,0.03,-
1764862379.7090867,0.03,-
1764862380.205795,0.025,-
1764862380.70272,0.035,-
1764862381.2053795,0.03,-
1764862381.705737,0.035,-
1764862382.2062066,0.045,-
1764862382.7034483,0.045,-
1764862383.2053406,0.01,-
1764862383.7117248,0.025,-
1764862384.208641,0.04,-
1764862384.7063413,0.05,-
1764862385.2072434,0.055,-
1764862385.7055612,0.04,-
1764862386.2041883,0.035,-
1764862386.7087338,0.035,-
1764862387.2058282,0.03,-
1764862387.7127826,0.03,-
1764862388.208497,0.035,-
1764862388.7156262,0.055,-
1764862389.2090957,0.06,-
1764862389.7078674,0.04,-
1764862390.2093697,0.025,-
1764862390.7179136,0.035,-
1764862391.2129292,0.03,-
1764862391.711266,0.015,-
1764862392.2099793,0.565,-
1764862392.7107797,0.995,-
1764862393.2301922,1.0,-
1764862393.7600663,0.995,-
1764862394.2560675,0.96,-
1764862394.7084339,1.0,-
1764862395.2084107,1.0,-
1764862395.7170653,1.0,-
1764862396.214305,1.0,-
1764862396.7106543,1.0,-
1764862397.277115,1.0,-
1764862397.7149932,0.995,-
1764862398.2192752,1.0,-
1764862398.718915,1.0,-
1764862399.2160091,1.0,-
1764862399.7133644,1.0,-
1764862400.2120893,1.0,-
1764862400.7196417,1.0,-
1764862401.2143323,1.0,-
1764862401.720785,1.0,-
1764862402.2125666,1.0,-
1764862402.7724493,1.0,-
1764862403.2142472,1.0,-
1764862403.7264771,1.0,-
1764862404.223081,1.0,-
1764862404.7324228,1.0,-
1764862405.2147508,1.0,-
1764862405.715935,1.0,-
1764862406.2150645,0.99,-
1764862406.7206545,1.0,-
1764862407.2115948,0.995,-
1764862407.7193696,1.0,-
1764862408.2803595,1.0,-
1764862408.8430505,1.0,-
1764862409.2349312,1.0,-
1764862409.7190132,1.0,-
1764862410.2218463,1.0,-
1764862410.7205591,1.0,-
1764862411.2149835,1.0,-
1764862411.7186384,0.98,-
1764862412.240918,1.0,-
1764862412.7210116,1.0,-
1764862413.2192209,1.0,-
1764862413.7216175,0.995,-
1764862414.2179441,1.0,-
1764862414.719378,1.0,-
1764862415.219165,1.0,-
1764862415.7217746,0.98,-
1764862416.226652,1.0,-
1764862416.722495,1.0,-
1764862417.2232676,1.0,-
1764862417.7213957,1.0,-
1764862418.2201164,1.0,-
1764862418.7194836,1.0,-
1764862419.2248402,1.0,-
1764862419.7208138,1.0,-
1764862420.2220497,1.0,-
1764862420.723625,0.98,-
1764862421.2225308,0.98,-
1764862421.7310178,1.0,-
1764862422.2252278,1.0,-
1764862422.7219112,0.995,-
1764862423.2250252,0.995,-
1764862423.7254136,0.995,-
1764862424.256779,1.0,-
1764862424.724144,1.0,-
1764862425.2272897,1.0,-
1764862425.7258227,1.0,-
1764862426.229951,1.0,-
1764862426.7244418,1.0,-
1764862427.2300699,0.975,-
