ts,prob,reason
1765011035.3921673,0.275,-
1765011035.8895247,0.29,-
1765011036.3839142,0.28,-
1765011036.8917792,0.285,-
1765011037.3915956,0.28,-
1765011037.8918679,0.28,-
1765011038.3941846,0.285,-
1765011038.8932188,0.29,-
1765011039.3940065,0.82,-
1765011039.893468,0.96,-
1765011040.393893,0.94,-
1765011041.344625,0.955,-
1765011041.393526,0.955,-
1765011041.8934112,0.955,-
1765011042.3956068,0.955,-
1765011042.8956835,0.95,-
1765011043.402958,0.95,-
1765011043.8966691,0.95,-
1765011044.3921518,0.95,-
1765011044.9117184,0.95,-
1765011045.3942971,0.95,-
1765011045.897774,0.95,-
1765011046.3954275,0.95,-
1765011046.8932421,0.95,-
1765011047.4003613,0.95,-
1765011047.8992486,0.95,-
1765011048.3973227,0.95,-
1765011049.1208546,0.95,-
1765011049.3956022,0.95,-
1765011049.9002845,0.95,-
1765011050.4001307,0.95,-
1765011050.8932707,0.95,-
1765011051.3962564,0.95,-
1765011051.9018748,0.95,-
1765011052.401458,0.95,-
1765011052.8986967,0.95,-
1765011053.400796,0.955,-
1765011053.9013634,0.95,-
1765011054.40877,0.945,-
1765011054.9003763,0.95,-
1765011055.394717,0.95,-
1765011055.9032273,0.95,-
1765011056.4017432,0.93,-
1765011057.129109,0.95,-
1765011057.3995028,0.95,-
1765011057.8993974,0.95,-
1765011058.4020774,0.98,-
1765011058.9055703,0.285,-
