ts,prob,reason
1764860986.2408764,0.035,-
1764860986.7428818,0.035,-
1764860987.2382333,0.035,-
1764860987.7452865,0.03,-
1764860988.237983,0.035,-
1764860988.7426121,0.035,-
1764860989.239941,0.03,-
1764860989.7467005,0.03,-
1764860990.240799,0.03,-
1764860990.7384367,0.03,-
1764860991.2439518,0.03,-
1764860991.7427142,0.035,-
1764860992.2402956,0.03,-
1764860992.7423675,0.03,-
1764860993.2414818,0.035,-
1764860993.7413423,0.035,-
1764860994.240662,0.03,-
1764860994.7429767,0.03,-
1764860995.241869,0.03,-
1764860995.7451801,0.035,-
1764860996.244836,0.035,-
1764860996.740754,0.04,-
1764860997.2401872,0.035,-
1764860997.7442245,0.035,-
1764860998.2426214,0.04,-
1764860998.743872,0.04,-
1764860999.246563,0.04,-
1764860999.742713,0.035,-
1764861000.244326,0.035,-
1764861000.747269,0.035,-
1764861001.244842,0.07,-
1764861001.749155,0.09,-
1764861002.2443755,0.055,-
1764861002.745227,0.075,-
1764861003.245483,0.07,-
1764861003.7436109,0.055,-
1764861004.2453952,0.035,-
1764861004.7475295,0.04,-
1764861005.2709067,0.03,-
1764861005.7488344,0.035,-
1764861006.2453232,0.025,-
1764861006.7473774,0.025,-
1764861007.2487996,0.025,-
1764861007.7475753,0.045,-
1764861008.249319,0.07,-
1764861008.7508638,0.075,-
1764861009.2567198,0.055,-
1764861009.8204942,0.055,-
1764861010.2490387,0.06,-
1764861010.862382,0.05,-
1764861011.272505,0.335,-
1764861011.8568501,0.71,-
1764861012.2787266,0.995,-
1764861012.7880154,0.995,-
1764861017.8005152,1.0,-
1764861017.8275187,0.98,-
1764861017.858517,1.0,-
1764861017.8851635,1.0,-
1764861017.8991063,1.0,-
1764861017.9221056,1.0,-
1764861017.9402094,1.0,-
1764861017.956125,1.0,-
1764861017.9651513,1.0,-
1764861017.977128,1.0,-
1764861018.2526255,1.0,-
1764861018.748362,1.0,-
1764861019.2534487,1.0,-
1764861019.7511537,1.0,-
1764861020.253431,1.0,-
1764861020.753769,1.0,-
1764861021.2510083,1.0,-
1764861022.5504296,0.98,-
1764861022.5758984,0.995,-
1764861022.753705,1.0,-
1764861023.2527614,1.0,-
1764861023.751924,1.0,-
1764861024.2514396,1.0,-
1764861024.8181927,1.0,-
1764861025.2520564,1.0,-
1764861025.757838,1.0,-
1764861026.2511606,1.0,-
1764861026.766149,1.0,-
1764861027.255709,1.0,-
1764861027.7603252,1.0,-
1764861028.2568593,1.0,-
1764861028.755687,1.0,-
1764861029.2615426,1.0,-
1764861030.5545666,1.0,-
1764861030.5805602,1.0,-
1764861030.7737277,1.0,-
1764861031.2584653,0.98,-
1764861031.7607186,1.0,-
1764861032.2599852,1.0,-
1764861032.7726245,1.0,-
1764861033.2700787,1.0,-
1764861033.7645671,0.99,-
1764861034.280315,0.995,-
1764861034.7961676,0.945,-
1764861035.278347,0.605,-
1764861035.7962997,0.495,-
1764861036.2861373,0.515,-
1764861036.782875,0.475,-
1764861037.2793267,0.775,-
1764861037.7825267,0.82,-
1764861038.279629,0.8,-
1764861039.4170063,0.725,-
1764861039.4300025,0.74,-
1764861039.7970724,0.655,-
1764861040.297626,0.885,-
1764861040.7933192,0.88,-
1764861041.2879462,0.925,-
1764861041.794722,0.93,-
1764861042.28581,0.93,-
1764861042.785028,0.93,-
1764861043.2922792,0.93,-
1764861043.8052645,0.93,-
1764861044.3055453,0.925,-
1764861044.8046846,0.935,-
1764861045.3043728,0.93,-
1764861045.8118382,0.93,-
1764861046.6375751,0.935,-
1764861047.6745565,0.935,-
1764861047.6967702,0.93,-
1764861047.8201888,0.93,-
1764861048.337047,0.935,-
1764861048.8274777,0.93,-
1764861049.3444316,0.93,-
1764861050.1639473,0.93,-
1764861050.3277328,0.93,-
1764861050.850129,0.915,-
1764861051.326124,0.925,-
1764861051.827933,0.93,-
1764861052.329805,0.925,-
1764861052.8263211,0.925,-
1764861053.3278239,0.93,-
1764861053.8547566,0.855,-
1764861054.329659,0.795,-
1764861054.828319,0.27,-
1764861055.3306072,0.49,-
1764861055.869774,0.5,-
1764861056.3444498,0.505,-
1764861056.8297405,0.515,-
1764861057.3298106,0.51,-
1764861057.8292897,0.51,-
1764861058.332688,0.14,-
1764861058.8502893,0.71,-
1764861059.35558,0.85,-
1764861059.850445,0.845,-
1764861060.9761703,0.815,-
1764861061.0011587,0.83,-
1764861061.3508887,0.875,-
1764861061.8503246,0.93,-
1764861062.3526993,0.915,-
1764861062.851253,0.915,-
1764861063.35266,0.915,-
1764861063.8514464,0.93,-
1764861064.3527122,0.93,-
1764861064.853834,0.92,-
1764861065.3566933,0.92,-
1764861065.8513517,0.93,-
1764861066.3534343,0.91,-
1764861066.8537855,0.91,-
1764861067.3540766,0.935,-
1764861067.8577178,0.93,-
1764861068.967889,0.935,-
1764861068.9810426,0.935,-
1764861069.3594189,0.93,-
1764861069.8554018,0.935,-
1764861070.387416,0.935,-
1764861070.875822,0.94,-
1764861071.3775115,0.935,-
1764861071.8785462,0.93,-
1764861072.3777997,0.935,-
1764861072.8754508,0.9,-
1764861073.3764358,0.92,-
1764861073.8783846,0.92,-
1764861074.3797498,0.915,-
1764861074.8787308,0.93,-
1764861075.376758,0.935,-
