t,ax,ay,az,gx,gy,gz,label
113308,0.969,0.3064,-0.1519,-3.282,2.366,-2.244,nornal
113328,0.9722,0.304,-0.1392,0.977,3.023,-3.947,nornal
113348,0.9807,0.3091,-0.1316,6.542,4.824,-5.672,nornal
113368,0.9824,0.3062,-0.1355,12.137,7.0,-5.901,nornal
113388,0.969,0.3057,-0.1218,15.733,9.183,-5.687,nornal
113408,0.9727,0.2976,-0.1177,19.031,9.824,-5.649,nornal
113428,0.9609,0.2961,-0.1245,23.42,11.45,-6.405,nornal
113448,0.9609,0.2917,-0.1382,27.298,12.817,-6.779,nornal
113468,0.9553,0.2817,-0.1328,29.221,13.237,-6.191,nornal
113488,0.9583,0.2627,-0.1191,32.122,14.099,-5.115,nornal
113508,0.9712,0.2551,-0.1152,31.496,13.779,-3.985,nornal
113528,0.9751,0.2617,-0.1174,30.634,13.947,-3.061,nornal
113548,0.9734,0.28,-0.1167,31.183,15.565,-2.893,nornal
113568,0.98,0.2991,-0.134,35.122,16.183,-4.244,nornal
113588,0.9736,0.3123,-0.1382,41.786,16.076,-4.954,nornal
113608,0.9644,0.3123,-0.1248,47.305,15.962,-5.115,nornal
113628,0.9705,0.2991,-0.1121,50.855,16.908,-5.252,nornal
113648,0.9795,0.281,-0.1233,53.435,16.977,-5.969,nornal
113668,0.9841,0.2722,-0.1353,54.198,15.71,-6.13,nornal
113688,0.9773,0.2749,-0.1194,53.748,15.412,-7.901,nornal
113708,0.9773,0.2786,-0.1145,53.863,16.336,-8.885,nornal
113728,0.9871,0.2734,-0.1106,54.496,17.237,-9.137,nornal
113748,0.9888,0.2815,-0.1055,54.74,17.038,-9.656,nornal
113768,0.988,0.2876,-0.0981,56.382,16.649,-9.756,nornal
113788,0.9851,0.2981,-0.1135,58.809,16.733,-10.29,nornal
113808,0.9871,0.3057,-0.1326,61.618,16.878,-10.908,nornal
113828,0.9641,0.3037,-0.1379,61.481,15.901,-10.824,nornal
113848,0.9609,0.2971,-0.1345,62.168,17.168,-9.794,nornal
113868,0.9758,0.2896,-0.1255,62.58,16.183,-8.985,nornal
113888,0.9729,0.2812,-0.1326,62.878,15.763,-8.122,nornal
113908,0.9617,0.2788,-0.1306,63.565,15.359,-7.046,nornal
113928,0.9604,0.293,-0.147,64.153,14.351,-6.466,nornal
113948,0.9548,0.2974,-0.1548,66.084,13.939,-6.13,nornal
113968,0.9507,0.2993,-0.1584,68.244,14.702,-5.282,nornal
113988,0.9441,0.2888,-0.1626,69.786,14.282,-3.855,nornal
114028,0.9741,0.2605,-0.1624,69.015,11.695,-4.298,nornal
114048,0.9685,0.2456,-0.1294,63.679,12.931,-3.924,nornal
114068,0.9792,0.2588,-0.1533,58.443,15.466,-4.046,nornal
114088,0.9924,0.3066,-0.2144,58.046,14.534,-5.519,nornal
114108,0.9883,0.3123,-0.2297,60.992,14.618,-7.275,nornal
114128,0.9902,0.2917,-0.2256,62.504,14.267,-7.824,nornal
114148,0.9761,0.2786,-0.251,61.214,12.366,-6.954,nornal
114168,0.9644,0.2812,-0.2417,58.397,10.977,-8.099,nornal
114188,0.9778,0.2742,-0.23,57.015,9.489,-10.191,nornal
114208,0.9751,0.2678,-0.2297,56.221,8.252,-12.947,nornal
114228,0.9548,0.2568,-0.2427,58.718,10.374,-15.122,nornal
114248,0.9426,0.2441,-0.2524,62.519,12.229,-15.626,nornal
114268,0.9585,0.2488,-0.2676,64.695,11.229,-15.672,nornal
114288,0.9653,0.269,-0.2793,64.794,9.122,-14.672,nornal
114308,0.9771,0.2588,-0.2861,63.603,4.511,-11.885,nornal
114328,0.9731,0.2134,-0.259,62.55,3.618,-7.588,nornal
114348,0.9541,0.1619,-0.238,59.908,7.122,-3.237,nornal
114368,0.9817,0.1536,-0.259,56.687,12.229,-0.893,nornal
114388,0.9685,0.1926,-0.2764,52.435,11.779,-2.008,nornal
114408,0.9011,0.2297,-0.2805,48.947,14.55,-3.542,nornal
114428,0.8809,0.2439,-0.29,47.771,16.84,-5.489,nornal
114448,0.873,0.2625,-0.2959,49.496,18.015,-8.061,nornal
114468,0.8982,0.2615,-0.2942,52.466,19.298,-11.534,nornal
114489,0.9348,0.2502,-0.2825,53.794,19.992,-12.885,nornal
114509,0.9341,0.2512,-0.2878,53.489,21.015,-11.74,nornal
114529,0.9353,0.2778,-0.3291,53.122,22.672,-9.733,nornal
114549,0.937,0.2756,-0.3306,53.496,24.198,-8.405,nornal
114569,0.9343,0.2522,-0.3123,53.473,27.382,-7.779,nornal
114589,0.946,0.239,-0.3044,52.45,30.305,-7.916,nornal
114609,0.9446,0.2651,-0.3088,50.015,33.603,-8.45,nornal
114629,0.9692,0.2756,-0.3376,48.565,32.374,-9.725,nornal
114649,0.9436,0.2732,-0.3442,45.359,28.687,-13.588,nornal
114669,0.9241,0.2622,-0.3325,43.878,29.374,-14.901,nornal
114689,0.9534,0.2712,-0.3335,44.084,29.962,-15.656,nornal
114709,0.9685,0.2625,-0.3333,44.87,32.412,-15.344,nornal
114729,0.9673,0.2632,-0.3311,41.725,33.947,-12.344,nornal
114749,0.9697,0.2786,-0.3254,38.099,32.45,-9.687,nornal
114769,0.9788,0.2966,-0.343,35.977,24.786,-7.992,nornal
114789,0.9751,0.3313,-0.3352,35.573,15.382,-6.763,nornal
114809,0.9775,0.3259,-0.3149,37.656,14.321,-7.756,nornal
114829,0.9358,0.2844,-0.2964,42.198,16.198,-5.275,nornal
114849,0.9258,0.2466,-0.321,40.504,21.344,-1.901,nornal
114869,0.9766,0.2383,-0.3372,37.0,19.58,0.069,nornal
114889,1.032,0.2449,-0.28,32.321,13.344,-2.634,nornal
114909,0.9954,0.2632,-0.2769,25.053,10.328,-3.588,nornal
114929,0.9399,0.2715,-0.2666,17.634,9.626,-0.206,nornal
