t,ax,ay,az,gx,gy,gz,label
46496,0.9795,0.2458,-0.1685,12.84,-7.534,-5.397,fall
46516,0.9944,0.25,-0.1223,5.87,-8.763,-2.214,fall
46536,1.0051,0.3179,-0.1543,-2.504,-11.634,0.0,fall
46556,0.9778,0.4062,-0.1436,-5.328,-12.977,4.237,fall
46576,0.9551,0.3965,-0.0884,-2.878,-8.824,5.412,fall
46596,0.9041,0.3711,-0.1257,2.351,0.588,8.153,fall
46616,0.9224,0.3613,-0.1421,2.603,5.13,7.985,fall
46636,0.9143,0.3645,-0.1567,0.412,4.099,5.214,fall
46656,0.9031,0.3838,-0.1926,1.779,1.137,1.916,fall
46676,0.9211,0.3918,-0.2134,6.901,-3.16,-3.344,fall
46696,0.9026,0.3804,-0.2429,10.87,-8.313,-5.435,fall
46716,0.9229,0.3696,-0.2529,10.412,-7.336,-4.748,fall
46736,0.9417,0.373,-0.2441,7.611,-4.382,-3.847,fall
46756,0.9385,0.3708,-0.2166,6.779,1.282,-1.656,fall
46776,0.9387,0.3706,-0.2158,8.092,5.443,-0.29,fall
46796,0.9348,0.3667,-0.2444,9.611,5.489,0.176,fall
46816,0.9268,0.3623,-0.2512,9.962,6.168,0.084,fall
46836,0.9221,0.3523,-0.2515,9.885,5.794,-0.901,fall
46856,0.9202,0.3374,-0.2351,9.145,5.435,-2.427,fall
46876,0.9204,0.3342,-0.2241,7.908,4.702,-4.466,fall
46896,0.9285,0.3401,-0.2405,6.267,4.084,-4.863,fall
46916,0.9456,0.3496,-0.2427,6.931,3.015,-4.389,fall
46936,0.9492,0.3569,-0.2332,7.885,3.847,-3.771,fall
46956,0.9417,0.3503,-0.2322,7.794,5.885,-2.42,fall
46976,0.9365,0.3435,-0.2476,5.916,7.145,-1.092,fall
46996,0.9399,0.3384,-0.2517,4.931,6.145,-1.145,fall
47016,0.9343,0.3369,-0.2307,5.336,4.794,-2.191,fall
47036,0.9204,0.3425,-0.2361,5.397,4.282,-3.237,fall
47056,0.936,0.3413,-0.2393,5.183,5.489,-3.863,fall
47076,0.9407,0.3445,-0.2361,4.458,5.153,-3.962,fall
47096,0.9338,0.3452,-0.2322,4.015,4.992,-4.061,fall
