ax_mean,ax_std,ax_max,ax_min,ax_median,ay_mean,ay_std,ay_max,ay_min,ay_median,az_mean,az_std,az_max,az_min,az_median,gx_mean,gx_std,gx_max,gx_min,gx_median,gy_mean,gy_std,gy_max,gy_min,gy_median,gz_mean,gz_std,gz_max,gz_min,gz_median,linmag_mean,linmag_std,linmag_max,linmag_min,linmag_median,jerk_mean,jerk_std,jerk_max,spec_domfreq,spec_energy,label,source_file,start_idx
0.9413479999999999,0.012993463587511992,0.9785,0.9175,0.9410499999999999,0.34281799999999996,0.020995939512200926,0.3892,0.2891,0.34604999999999997,-0.24599600000000002,0.0463885242705564,-0.1428,-0.3506,-0.24914999999999998,3.75452,12.357580227924883,25.908,-13.099,-0.496,3.09702,3.10389802983281,9.985,-4.695,3.1835,0.43223999999999996,2.1348765824749685,3.122,-7.313,1.1105,0.0008627873641373896,0.015857718194425573,0.04435111570300898,-0.039173292719025365,-0.0012381209482714706,0.03156112096021273,0.574666469775164,1.4551348872916758,9.0,0.0001085677064495042,fall,fall_1764857045.csv,0
0.9246519999999999,0.03989281258572777,0.9995,0.8235,0.9318500000000001,0.34702,0.05429844196659791,0.5125,0.2815,0.33545,-0.277982,0.08093835108278398,-0.0251,-0.4001,-0.2783,5.25192,14.289315068035977,25.908,-19.473,8.4505,7.23792,10.896514736079606,34.489,-4.695,2.9965,-1.1420000000000001,4.222891767497718,5.16,-11.557,-0.897,-0.00033159462724849706,0.03851071494810208,0.0965178050918385,-0.09201362638879695,-0.001295210085153764,0.022951520642386897,1.0867331885745144,3.280659459247648,2.0,0.0011058572406265768,fall,fall_1764857045.csv,25
0.9386639999999999,0.059938858047180035,1.1118,0.8235,0.9347000000000001,0.323842,0.07026026498669073,0.5125,0.2209,0.30345,-0.24825400000000006,0.09248687519859237,-0.0251,-0.4001,-0.22415000000000002,-3.76826,17.351145780967897,23.458,-40.878,-2.691,7.52232,11.840501500257494,34.489,-12.977,4.5954999999999995,-1.2971200000000003,6.733703918765659,10.168,-14.679,-0.6145,-0.010758376273174124,0.051635598323544224,0.15491222471603905,-0.13307655574893074,-0.009362410097372154,-0.049132659194807665,2.256689694010677,7.019625528297501,1.0,0.0045665828845988235,fall,fall_1764857045.csv,50
0.9534739999999999,0.042304622962508476,1.1118,0.8477,0.94055,0.325264,0.050908996297314685,0.4062,0.2209,0.343,-0.209806,0.03922497372848068,-0.0884,-0.2705,-0.21889999999999998,1.1324999999999998,15.773195556069165,23.458,-40.878,5.6335,2.64716,6.1367307692614315,14.176,-12.977,4.1905,-1.91756,5.800271939004239,10.168,-14.679,-2.832,-0.06809936458368628,0.045959095730957585,0.003627595673285189,-0.2739953263811151,-0.05825221635037625,-0.16768520796316477,1.8199148624274744,4.157247719640317,1.0,0.0006145984374063011,fall,fall_1764857045.csv,75
0.862416,0.4205615328866871,1.9999,-0.2554,0.9343,0.34691599999999995,0.29063495616322543,1.0415,-0.5566,0.35325,-0.269402,0.19460836723018873,0.2932,-0.7817,-0.23704999999999998,7.81538,21.835254343277068,76.55,-80.412,6.84,-9.22372,41.43725757578076,32.099,-171.252,4.08,-1.7845799999999996,33.924095489837306,115.985,-102.168,-3.855,0.035478669872573906,0.36940962544851147,1.1596252212441935,-0.9444690252018291,0.016116269831629393,0.3854192150508024,11.074524187096634,57.69974458373227,3.0,0.0775690147036369,fall,fall_1764857045.csv,100
0.929718,0.43924742944723083,1.9999,-0.2554,1.0314999999999999,0.376516,0.29415791361783894,1.0415,-0.5566,0.41085,-0.44443800000000006,0.24044484847049646,0.2932,-0.7817,-0.54355,8.13948,22.98042003727521,76.55,-80.412,6.79,-8.676960000000001,44.847458051916384,32.099,-171.252,3.8205,-2.8763200000000007,36.37114914238482,115.985,-102.168,-7.5344999999999995,0.006470037135404008,0.3618860114177278,1.0113640885871358,-1.0324813941163786,0.03390387007389617,0.19474037686318463,11.225531636823774,57.69974458373227,2.0,0.12503897877976056,fall,fall_1764857045.csv,125
0.93309,0.19359730292542818,1.2593,0.5156,1.02195,0.36190399999999995,0.08816960464922138,0.5015,0.1709,0.3765,-0.479304,0.1340129873706276,-0.218,-0.6531,-0.5386,0.3189000000000004,12.63020212862803,27.908,-22.313,-1.08,16.53848,23.985679157564,57.802,-63.58,21.714,-5.79188,17.283114606621112,43.649,-36.74,-7.5344999999999995,-0.17270750011757743,0.19677433415047293,0.035847809752253657,-0.6138989168018845,-0.08834083763557232,-0.7427735538008856,2.9205343499020993,7.008162119179396,1.0,0.02396650529426213,fall,fall_1764857045.csv,150
0.8559599999999999,0.17747230769897598,1.3528,0.5156,0.90305,0.35141600000000006,0.1069634766824639,0.7673,0.1709,0.3478,-0.274428,0.12783775035567546,-0.0581,-0.5613,-0.2345,-8.655560000000001,13.45342227265613,26.725,-37.863,-10.332,16.33634,19.83975491643987,57.802,-14.809,12.7135,-1.0386,14.086345080254139,19.382,-31.954,1.6335,-0.06866715678688377,0.1956363182377222,0.5737883731184213,-0.4350309656856559,-0.00409217898217068,-0.19244158635705763,5.84422172347646,20.588324858943764,1.0,0.06758171372494437,fall,fall_1764857045.csv,175
0.9207940000000001,0.10506619705690315,1.3528,0.5566,0.93045,0.39352600000000004,0.0750398529049731,0.7673,0.2588,0.3893,-0.182048,0.0366424739339472,-0.0581,-0.3132,-0.18395,-6.816880000000001,12.470712788994861,26.725,-37.863,-6.7059999999999995,2.87284,10.28949544216819,43.641,-14.809,1.2445,2.2603199999999997,6.858014781086434,17.992,-17.198,0.4165,0.15560682900738626,0.13977249561297772,0.8677184119799843,-0.02687378778914673,0.10946926361619508,0.3614233110363377,5.285421517838185,20.588324858943764,1.0,0.0027033162072070127,fall,fall_1764857045.csv,200
0.938304,0.029407774210232232,1.0012,0.8801,0.9331,0.376952,0.03334527996583624,0.4312,0.2979,0.38034999999999997,-0.17430999999999996,0.023599451264806982,-0.1167,-0.2246,-0.1814,-0.18984000000000012,10.644780144953677,30.244,-13.931,-3.6605,3.5623999999999993,4.674733776377003,12.557,-9.473,3.6639999999999997,-0.31659999999999994,3.953186173202573,7.298,-11.931,-0.202,0.004814645993468967,0.019738525123931448,0.04857626993242037,-0.059122397250560677,0.00659883925473892,0.02635400381238974,0.9402014017988032,2.32022563228077,2.0,0.000545926582498404,fall,fall_1764857045.csv,225
