i,ax,ay,az,gx,gy,gz
0,0.2722,-0.4373,-0.9536,-1.466,3.847,-1.16
1,0.2742,-0.4336,-0.9512,-1.168,3.466,-1.427
2,0.2712,-0.4331,-0.9438,-0.115,3.328,-1.359
3,0.2747,-0.4282,-0.948,0.023,3.153,-0.916
4,0.2703,-0.4321,-0.9373,-0.282,2.26,-0.931
5,0.271,-0.4314,-0.9441,-0.099,2.573,-0.664
6,0.2649,-0.4333,-0.9524,0.053,4.084,-0.565
7,0.2683,-0.4355,-0.9441,-0.244,3.939,-0.412
8,0.2703,-0.4324,-0.9436,-1.023,3.176,-0.802
9,0.2722,-0.4258,-0.939,-1.565,3.519,-0.924
10,0.2812,-0.4316,-0.9336,-1.031,3.511,-0.702
11,0.2747,-0.4312,-0.9448,-0.771,3.328,-0.87
12,0.272,-0.4326,-0.9487,-0.595,2.756,-0.557
13,0.2708,-0.4304,-0.9492,-0.634,2.45,-0.351
14,0.2698,-0.4294,-0.9412,-0.344,2.534,-0.573
15,0.272,-0.4277,-0.9409,-0.374,2.267,-0.58
16,0.2761,-0.4277,-0.9475,0.023,3.29,-0.542
17,0.2776,-0.4353,-0.9402,0.221,3.382,-0.397
18,0.2664,-0.4355,-0.939,0.458,3.275,-0.191
19,0.2727,-0.4319,-0.938,1.183,2.863,0.282
20,0.272,-0.4316,-0.9392,1.427,3.344,0.328
21,0.2725,-0.4302,-0.9482,0.893,3.794,0.489
22,0.272,-0.4333,-0.9487,0.84,2.473,0.099
23,0.2708,-0.4348,-0.9431,1.321,2.42,0.221
24,0.2708,-0.4353,-0.9385,1.542,2.756,-0.237
25,0.2715,-0.4329,-0.9395,1.214,3.107,-0.092
26,0.2725,-0.4331,-0.9475,0.939,3.038,0.466
27,0.2686,-0.4358,-0.9519,0.893,3.58,0.458
28,0.27,-0.4368,-0.9395,0.42,4.031,0.229
29,0.2732,-0.4338,-0.9458,0.687,4.176,0.458
30,0.2756,-0.4363,-0.937,0.779,3.702,0.038
31,0.272,-0.426,-0.9504,0.855,3.534,-0.107
32,0.2717,-0.429,-0.9407,0.885,3.435,-0.168
33,0.2734,-0.4321,-0.9382,0.771,3.389,-0.328
34,0.2766,-0.4346,-0.9429,0.649,2.969,-0.16
35,0.271,-0.4387,-0.9548,0.29,2.473,0.076
36,0.2683,-0.4399,-0.9404,0.702,2.84,0.282
37,0.2705,-0.4338,-0.9314,0.748,3.252,0.45
38,0.2712,-0.4402,-0.9343,0.481,3.489,0.206
39,0.2698,-0.4365,-0.9434,0.519,2.832,-0.092
40,0.2725,-0.4348,-0.9397,0.107,2.542,-0.305
41,0.2698,-0.4395,-0.9377,0.053,3.069,-0.145
42,0.271,-0.4314,-0.9353,0.252,3.359,-0.183
43,0.2693,-0.4304,-0.947,0.656,2.901,-0.405
44,0.2708,-0.4294,-0.9417,0.458,2.733,-0.092
45,0.2727,-0.4319,-0.9551,0.802,4.336,0.122
46,0.2642,-0.4346,-0.9438,0.969,5.458,0.366
47,0.2585,-0.4275,-0.9551,-0.733,7.237,0.702
48,0.2656,-0.425,-0.9514,-1.115,9.916,1.244
49,0.2651,-0.4143,-0.9583,0.198,14.046,1.779
