i,ax,ay,az,gx,gy,gz
0,-0.125,-0.6736,-1.0027,-4.183,7.435,-37.466
1,0.0852,-0.717,-0.948,-12.58,14.221,-37.008
2,0.2781,-0.7256,-0.8074,-13.046,30.351,-31.794
3,0.4175,-0.6399,-0.7295,-9.443,54.145,-22.221
4,0.4792,-0.5393,-0.7935,-11.008,51.26,-15.885
5,0.4482,-0.4958,-0.9341,-18.267,33.847,-12.634
6,0.3489,-0.5393,-1.053,-22.206,7.076,-14.977
7,0.1785,-0.551,-1.0134,-17.092,-19.16,-19.191
8,-0.0352,-0.4944,-0.8528,0.893,-32.939,-22.687
9,-0.1147,-0.4277,-0.7498,-0.053,-19.588,-19.221
10,0.1099,-0.2498,-0.9646,-7.511,24.046,-5.656
11,0.4116,-0.0859,-1.2588,-3.947,63.656,0.336
12,0.5728,-0.0474,-1.3206,23.985,60.382,-3.206
13,0.624,-0.0896,-1.085,42.885,7.87,-10.832
14,0.6631,-0.1592,-0.7373,38.939,-39.389,-14.954
15,0.5291,-0.2573,-0.4014,91.794,-100.038,23.267
16,0.4951,-0.3945,-0.7314,20.382,-79.885,0.282
17,0.3154,-0.6873,-0.9495,20.389,-17.634,3.023
18,0.1189,-0.2141,-1.0586,95.443,42.992,-20.542
19,0.1628,-0.811,-1.053,35.237,42.16,-1.672
20,0.2671,-0.6433,-0.9397,53.366,7.618,16.573
21,0.3398,-0.5818,-0.7441,39.42,-17.496,6.214
22,0.3562,-0.5901,-0.6609,27.504,-11.771,3.817
23,0.386,-0.6057,-0.6455,22.809,4.534,0.107
24,0.3567,-0.6492,-0.7449,10.832,20.321,-13.176
25,0.2781,-0.7131,-0.8271,-12.763,25.29,-21.939
26,0.1975,-0.7825,-0.8899,-21.076,25.748,-21.74
27,0.1562,-0.7808,-0.9033,-3.74,9.87,-10.466
28,0.1479,-0.6394,-0.8423,9.084,5.809,-2.832
29,0.1943,-0.5276,-0.8247,9.13,10.893,0.87
30,0.2341,-0.4604,-0.9509,-0.664,4.26,-1.374
31,0.2229,-0.4785,-0.9312,-13.863,10.214,-6.779
32,0.1553,-0.5667,-0.9053,-17.71,6.733,-12.733
33,0.1626,-0.5669,-0.9185,-9.168,-1.038,-12.168
34,0.2,-0.5557,-0.9429,1.008,-7.985,-11.863
35,0.2507,-0.575,-0.9143,-2.16,-8.809,-10.038
36,0.313,-0.6252,-0.8599,-11.618,-5.13,-8.504
37,0.3684,-0.6558,-0.8015,-17.687,-0.649,-5.527
38,0.4268,-0.6313,-0.7632,-14.542,8.58,-1.908
39,0.4375,-0.5593,-0.77,-10.107,15.863,1.489
40,0.4307,-0.4844,-0.8225,-6.878,18.344,4.023
41,0.3909,-0.4446,-0.8855,-9.084,12.916,7.176
42,0.3491,-0.4521,-0.9333,-13.313,8.183,8.802
43,0.3032,-0.501,-0.8918,-13.328,3.13,6.824
44,0.282,-0.554,-0.8538,-12.504,-1.443,2.588
45,0.2954,-0.5757,-0.8257,-10.496,-2.733,0.237
46,0.3015,-0.5884,-0.821,-10.527,4.267,-0.718
47,0.2874,-0.5862,-0.8435,-10.366,13.55,-1.458
48,0.2781,-0.5464,-0.8828,-10.137,22.229,-0.359
49,0.283,-0.502,-0.9258,-10.954,25.687,1.641
