i,ax,ay,az,gx,gy,gz
0,-0.3489,-0.3591,-1.2747,-15.977,-12.588,33.985
1,-0.4573,-0.4216,-1.2546,-13.015,-16.985,21.985
2,-0.5669,-0.3796,-1.1221,21.931,12.733,4.023
3,-0.4968,-0.2188,-0.9246,34.832,41.565,-1.962
4,-0.3569,-0.2275,-0.9075,16.366,34.435,-11.267
5,-0.2175,-0.3665,-0.9363,-5.962,7.931,-22.107
6,-0.083,-0.4463,-0.9792,-17.405,8.359,-21.214
7,0.0613,-0.5488,-1.0503,-12.649,25.321,-11.664
8,0.1677,-0.5496,-1.0168,4.244,42.794,-1.084
9,0.1655,-0.4192,-0.9092,16.374,50.137,0.985
10,0.0474,-0.2996,-0.8491,8.542,44.061,-7.84
11,-0.0452,-0.2778,-0.9199,-6.466,39.29,-20.16
12,-0.1423,-0.3447,-0.9517,-15.809,36.191,-27.733
13,-0.1384,-0.4368,-1.0186,-12.542,40.748,-33.26
14,0.0432,-0.3899,-1.1394,3.87,63.947,-32.878
15,0.1951,-0.3865,-1.2319,3.603,60.16,-30.313
16,0.2507,-0.4648,-1.1196,-6.771,40.588,-28.122
17,0.2861,-0.4895,-1.0154,-1.756,34.099,-26.504
18,0.283,-0.4119,-0.99,14.802,41.107,-28.107
19,0.2305,-0.314,-0.9504,13.809,38.443,-24.26
20,0.1528,-0.3201,-0.9739,-9.496,30.855,-19.374
21,0.0923,-0.4045,-0.9646,-7.641,36.214,-18.939
22,0.0642,-0.3462,-0.9851,8.389,56.885,-18.992
23,0.1357,-0.3335,-1.0312,4.107,66.824,-15.504
24,0.2056,-0.3723,-1.0969,-7.206,67.786,-11.534
25,0.304,-0.4089,-1.0234,1.74,70.267,-27.534
26,0.4043,-0.3943,-0.9497,21.687,69.656,-34.947
27,0.4531,-0.4512,-0.939,19.046,46.237,-45.221
28,0.4868,-0.4993,-0.9414,6.168,28.084,-43.229
29,0.5212,-0.5237,-0.9382,11.229,38.733,-39.939
30,0.5569,-0.4219,-0.9624,19.328,51.389,-36.015
31,0.5552,-0.3174,-0.9661,15.977,45.55,-25.588
32,0.4912,-0.3069,-0.9226,14.359,37.122,-13.824
33,0.4182,-0.3311,-0.8218,21.298,28.046,-8.267
34,0.397,-0.3408,-0.8403,20.74,17.733,-13.061
35,0.4419,-0.3704,-0.8435,9.733,8.237,-22.817
36,0.4905,-0.4814,-0.7297,-5.824,-2.115,-23.962
37,0.5149,-0.512,-0.553,-11.115,3.046,-13.061
38,0.5596,-0.3896,-0.4761,-2.962,32.863,-9.573
39,0.6333,-0.2144,-0.5784,2.55,45.244,-13.565
40,0.7461,-0.1667,-0.8027,-8.573,26.603,-12.191
41,0.8362,-0.1951,-0.9873,-19.573,-5.542,-4.023
42,0.8364,-0.2842,-0.9412,-15.687,-27.397,7.229
43,0.7441,-0.3579,-0.8191,-6.939,-33.252,19.466
44,0.5974,-0.3904,-0.7397,-2.473,-31.565,24.42
45,0.5303,-0.396,-0.7449,-0.252,-32.718,22.542
46,0.4753,-0.3608,-0.8049,-3.359,-33.924,20.893
47,0.4172,-0.3252,-0.9102,-12.206,-37.412,20.519
48,0.3645,-0.2866,-0.9702,-15.313,-48.13,19.618
49,0.3545,-0.2747,-0.9883,-5.45,-54.901,18.672
