i,ax,ay,az,gx,gy,gz
0,0.7415,0.0129,-0.7537,-4.656,18.847,14.58
1,0.7236,0.0154,-0.7708,-18.412,6.061,17.542
2,0.7449,0.0027,-0.7488,-3.183,6.794,3.763
3,0.7395,0.0125,-0.7627,-0.519,5.374,2.901
4,0.74,0.0044,-0.7485,-0.45,3.153,-0.366
5,0.7424,0.0127,-0.7649,-0.053,1.634,-3.458
6,0.7483,0.0166,-0.7627,-0.206,4.076,-5.069
7,0.7463,0.0117,-0.7688,0.137,7.802,-3.122
8,0.7485,0.0129,-0.761,-0.527,8.176,-1.992
9,0.748,0.0181,-0.7546,-0.153,11.267,0.321
10,0.7495,0.0137,-0.7522,0.229,14.076,2.863
11,0.752,0.0063,-0.7546,-0.504,13.359,2.183
12,0.7505,0.0085,-0.7461,-0.756,10.359,-1.351
13,0.7507,0.009,-0.7375,0.198,7.046,-1.687
14,0.7578,0.0161,-0.7451,0.252,5.145,-2.496
15,0.7581,0.0198,-0.7419,0.038,6.023,-0.863
16,0.7524,0.0142,-0.7476,0.145,4.733,0.015
17,0.7598,0.0139,-0.7522,0.321,3.985,-0.557
18,0.7573,0.0171,-0.7512,0.817,1.794,-1.962
19,0.7566,0.0151,-0.751,0.076,4.183,-0.794
20,0.7549,0.0195,-0.7424,0.0,5.221,-0.046
21,0.7556,0.0107,-0.7378,0.344,3.672,0.214
22,0.7595,0.0173,-0.7429,0.344,1.718,-0.374
23,0.7454,0.0154,-0.7598,0.313,1.817,-1.649
24,0.7603,0.0161,-0.7529,0.244,1.611,-1.74
25,0.7568,0.012,-0.7446,0.137,1.557,-1.504
26,0.7559,0.0134,-0.748,0.618,1.198,-2.168
27,0.7576,0.0161,-0.7532,0.489,3.344,0.542
28,0.7529,0.0171,-0.7505,0.046,5.542,0.924
29,0.7585,0.0151,-0.7507,0.099,4.481,0.824
30,0.7532,0.0195,-0.7456,-0.252,3.664,0.573
31,0.7566,0.0166,-0.7458,0.107,4.489,1.496
32,0.759,0.0161,-0.7483,-0.092,4.969,2.695
33,0.7437,0.0325,-0.7546,-3.153,6.412,3.771
34,0.761,0.0039,-0.7397,-0.916,6.458,2.405
35,0.7551,0.0073,-0.7351,-0.237,3.305,-0.786
36,0.7583,0.0144,-0.7471,0.153,1.924,-1.893
37,0.7629,0.0166,-0.739,0.046,4.397,-0.656
38,0.7556,0.0161,-0.7393,-0.061,6.542,0.153
39,0.7593,0.0127,-0.7456,-0.008,4.206,-0.015
40,0.7561,0.0098,-0.7466,-0.328,1.969,-1.916
41,0.7617,0.0156,-0.7483,0.115,3.046,-0.931
42,0.7595,0.0144,-0.7488,0.046,4.611,0.298
43,0.7546,0.0146,-0.7476,0.237,4.29,0.069
44,0.762,0.0132,-0.7449,0.359,1.13,-1.076
45,0.7583,0.0142,-0.7429,0.168,1.786,-1.198
46,0.7622,0.0176,-0.7495,-0.053,3.237,-0.802
47,0.7595,0.0122,-0.7454,0.198,5.031,-0.351
48,0.7534,0.0125,-0.7429,0.176,5.137,0.221
49,0.7615,0.0117,-0.7437,0.214,4.634,-0.26
