i,ax,ay,az,gx,gy,gz
0,0.1985,0.0891,-1.051,9.511,16.695,0.618
1,0.1787,0.0488,-1.0833,8.893,6.885,-3.824
2,0.1909,0.1018,-1.085,20.061,-0.939,-9.557
3,0.2095,0.0515,-1.0378,8.74,4.687,-3.176
4,0.2009,0.0574,-1.0471,14.565,12.992,1.733
5,0.1885,0.0518,-1.0688,11.191,7.916,-1.817
6,0.1917,0.0735,-1.0417,9.634,0.511,-8.176
7,0.207,0.0684,-1.0854,9.374,1.336,-7.863
8,0.2358,0.0571,-1.0789,12.771,2.328,-7.557
9,0.2217,0.0488,-1.0605,12.328,6.389,-1.847
10,0.187,0.0371,-1.0603,10.565,4.244,-2.542
11,0.2048,0.0327,-1.0559,6.015,-3.023,-6.214
12,0.2129,0.0396,-1.054,6.008,-5.489,-4.977
13,0.1982,0.0378,-1.0586,3.26,0.321,-2.718
14,0.196,0.0298,-1.0547,0.313,0.0,-1.992
15,0.2056,0.0374,-1.0667,-0.397,-4.939,-4.023
16,0.1936,0.0466,-1.0691,-0.542,-6.122,-2.672
17,0.2019,0.0361,-1.0728,0.176,1.107,-1.252
18,0.1924,0.0325,-1.0664,0.145,-0.389,-1.237
19,0.1926,0.0349,-1.0659,0.282,-4.16,-2.038
20,0.1956,0.0342,-1.0579,0.237,-2.809,-2.008
21,0.1921,0.0352,-1.0674,1.374,4.534,0.626
22,0.1558,0.0408,-1.063,0.611,-0.29,-1.954
23,0.1926,0.0217,-1.0559,-1.038,-2.519,-2.023
24,0.1929,0.032,-1.0596,-0.893,-2.473,-2.786
25,0.1702,0.0417,-1.0754,-1.168,-1.588,-1.855
26,0.1904,0.0464,-1.0991,-0.718,-3.008,-0.863
27,0.2,0.0588,-1.0796,3.351,-3.351,-0.656
28,0.1797,0.061,-1.0867,0.023,-9.206,-4.55
29,0.1743,0.0447,-1.0605,0.847,-4.107,-0.985
30,0.187,0.0417,-1.084,0.504,-1.466,-0.336
31,0.1755,0.0383,-1.0725,1.481,2.183,1.092
32,0.1445,0.0327,-1.0823,1.0,-2.359,-0.534
33,0.1838,0.0276,-1.0671,-0.618,-6.672,-3.366
34,0.1814,0.0408,-1.0652,0.519,-1.672,-0.656
35,0.1572,0.0374,-1.0735,0.168,-1.893,0.122
36,0.1658,0.0439,-1.0579,2.13,1.031,0.824
37,0.1335,0.0344,-1.0725,0.748,1.71,0.969
38,0.1372,0.0359,-1.0681,-1.924,-4.649,-2.275
39,0.1709,0.0466,-1.0703,-1.389,-4.237,-1.588
40,0.1399,0.0349,-1.0608,0.122,0.863,1.389
41,0.1382,0.0398,-1.064,1.641,7.496,1.855
42,0.1511,0.0417,-1.0776,0.733,2.321,-1.053
43,0.1494,0.0447,-1.0808,-0.504,-2.221,-1.282
44,0.1533,0.0386,-1.0715,0.45,-3.947,-2.763
45,0.1555,0.0398,-1.0706,1.153,5.252,2.031
46,0.144,0.0354,-1.0698,0.183,0.954,-1.321
47,0.176,0.043,-1.0833,0.45,-4.153,-1.733
48,0.158,0.05,-1.0935,1.115,-5.519,-0.534
49,0.1436,0.0227,-1.0625,3.221,-0.031,2.45
