i,ax,ay,az,gx,gy,gz
0,0.0647,-0.1384,-1.071,-0.015,3.115,-0.16
1,0.0669,-0.1387,-1.0811,0.092,3.366,-0.313
2,0.0623,-0.1433,-1.0742,-0.008,3.527,-0.046
3,0.0649,-0.1411,-1.0771,-0.115,3.382,-0.244
4,0.0642,-0.1421,-1.0674,-0.153,3.344,-0.229
5,0.0662,-0.1426,-1.062,-0.084,3.366,-0.328
6,0.0645,-0.1416,-1.0813,0.046,3.313,-0.176
7,0.0627,-0.1399,-1.0715,0.107,3.168,-0.237
8,0.0623,-0.1396,-1.0652,-0.267,3.229,-0.229
9,0.0649,-0.1401,-1.0725,0.031,3.214,-0.252
10,0.0598,-0.1392,-1.0703,0.206,3.305,-0.13
11,0.0642,-0.135,-1.074,-0.046,3.244,-0.198
12,0.0657,-0.1411,-1.072,0.031,3.16,-0.298
13,0.064,-0.1379,-1.0679,-0.031,3.382,-0.366
14,0.0642,-0.1416,-1.0701,0.183,3.29,-0.122
15,0.0679,-0.1406,-1.072,-0.015,3.626,-0.344
16,0.0662,-0.1409,-1.075,0.008,3.489,-0.26
17,0.0645,-0.1348,-1.0735,0.099,3.29,-0.473
18,0.0649,-0.1387,-1.073,-0.145,3.305,0.145
19,0.0674,-0.1375,-1.0754,0.107,3.443,-0.359
20,0.063,-0.1409,-1.0688,-0.046,3.359,-0.427
21,0.0623,-0.1375,-1.0732,0.115,3.282,-0.275
22,0.0662,-0.1389,-1.072,-0.229,3.107,-0.649
23,0.0623,-0.1387,-1.0752,0.282,3.298,-0.366
24,0.0645,-0.1416,-1.0732,-0.206,3.214,-0.099
25,0.0667,-0.1392,-1.0715,0.229,3.328,-0.298
26,0.0659,-0.1387,-1.0691,0.122,3.092,-0.214
27,0.0674,-0.1396,-1.0737,0.015,3.244,-0.153
28,0.0664,-0.1392,-1.0798,-0.015,3.321,-0.313
29,0.0627,-0.1396,-1.0703,0.099,3.214,-0.275
30,0.0664,-0.1399,-1.0652,-0.069,2.985,-0.45
31,0.0652,-0.1414,-1.0652,0.015,3.168,-0.389
32,0.0667,-0.1426,-1.0649,-0.099,3.168,-0.038
33,0.0645,-0.1387,-1.0691,0.328,3.092,-0.244
34,0.0664,-0.1406,-1.0701,-0.031,3.107,-0.374
35,0.0637,-0.1421,-1.0676,0.183,3.519,-0.153
36,0.064,-0.1396,-1.063,-0.053,3.45,-0.229
37,0.0657,-0.1387,-1.0811,0.031,3.366,-0.29
38,0.0627,-0.1394,-1.0735,0.221,3.145,-0.122
39,0.0615,-0.1431,-1.0735,-0.092,3.565,-0.153
40,0.0591,-0.1399,-1.0635,0.168,3.351,-0.298
41,0.064,-0.1367,-1.074,0.031,2.939,-0.344
42,0.0615,-0.1399,-1.0706,0.252,3.237,-0.481
43,0.0654,-0.1399,-1.0647,0.206,3.344,-0.244
44,0.0608,-0.1414,-1.0674,-0.046,3.336,-0.13
45,0.0659,-0.1438,-1.0752,0.13,3.389,-0.168
46,0.0627,-0.1396,-1.0613,0.168,3.534,-0.305
47,0.0657,-0.1428,-1.0693,0.16,3.328,-0.176
48,0.0652,-0.1421,-1.0769,0.168,3.092,-0.046
49,0.0667,-0.1387,-1.0679,0.107,3.122,-0.092
