i,ax,ay,az,gx,gy,gz
0,0.4424,-0.0564,-0.9866,1.786,4.634,-0.374
1,0.4539,-0.061,-0.9751,1.443,5.214,0.412
2,0.4475,-0.0684,-0.96,-0.298,1.786,-0.924
3,0.4702,-0.0764,-0.9707,0.153,3.893,-0.244
4,0.439,-0.0625,-0.9773,-0.328,3.046,0.061
5,0.4492,-0.0591,-0.9829,-0.87,3.969,-0.359
6,0.4446,-0.0505,-0.9885,-0.863,2.542,-0.87
7,0.4561,-0.0574,-0.9758,-0.351,3.252,-0.71
8,0.4478,-0.0588,-0.9778,-0.435,2.824,-0.084
9,0.449,-0.0652,-0.9778,-0.748,3.504,-0.145
10,0.4458,-0.062,-0.9785,-0.702,3.809,-0.015
11,0.4495,-0.052,-0.9832,-0.443,3.252,-0.527
12,0.4551,-0.0564,-0.9924,0.183,3.397,0.053
13,0.4517,-0.0603,-0.9836,0.962,2.45,-0.076
14,0.4443,-0.0557,-0.9768,0.275,2.672,-0.191
15,0.4468,-0.0671,-0.9736,0.061,2.733,-0.649
16,0.4492,-0.0566,-0.9788,0.954,4.214,-0.275
17,0.4485,-0.0581,-0.9731,-0.435,2.977,-0.74
18,0.4626,-0.0649,-0.9834,-0.061,3.092,-0.298
19,0.4441,-0.0581,-0.9802,0.092,2.397,0.099
20,0.4324,-0.0601,-0.9712,-1.221,2.908,-0.237
21,0.4441,-0.0515,-0.9851,-0.687,3.26,-0.756
22,0.4607,-0.0537,-0.9963,1.267,4.977,0.931
23,0.4399,-0.0554,-0.9792,1.168,3.092,-0.679
24,0.4565,-0.0703,-0.9661,-0.382,2.557,-0.725
25,0.4458,-0.0679,-0.9639,-0.779,2.817,-0.176
26,0.4504,-0.0566,-0.97,-0.817,2.733,-0.718
27,0.4438,-0.0476,-0.99,0.374,3.397,-0.42
28,0.4556,-0.0566,-0.9836,0.328,2.557,-0.084
29,0.4299,-0.0505,-0.9729,0.725,3.565,-0.344
30,0.4453,-0.0652,-0.9722,1.038,5.626,-0.267
31,0.4487,-0.0637,-0.9829,-1.008,2.298,-1.031
32,0.4592,-0.0625,-0.9856,-0.397,2.939,0.0
33,0.4446,-0.0522,-0.9795,-0.26,2.534,-0.466
34,0.4495,-0.0625,-0.9736,-0.817,2.298,-1.031
35,0.4551,-0.0605,-0.9817,-0.198,3.084,-0.42
36,0.4402,-0.0496,-0.9822,0.527,3.191,-0.145
37,0.4453,-0.0525,-0.9775,0.275,3.924,-0.275
38,0.4507,-0.0581,-0.9834,0.313,3.779,-0.015
39,0.4426,-0.061,-0.9741,0.435,4.13,-0.374
40,0.446,-0.0579,-0.9775,-0.519,4.595,-0.634
41,0.457,-0.0615,-0.9871,-1.168,2.221,-0.275
42,0.4543,-0.0579,-0.9875,0.397,3.008,0.374
43,0.428,-0.0503,-0.979,1.885,5.45,0.427
44,0.4377,-0.053,-0.9805,0.947,6.298,-0.397
45,0.4717,-0.0684,-0.98,0.008,4.542,-0.458
46,0.459,-0.0662,-0.9751,-0.092,3.16,-0.092
47,0.4509,-0.0681,-0.9751,-0.137,2.733,0.069
48,0.4456,-0.0571,-0.9888,-0.183,3.298,-0.282
49,0.4468,-0.0498,-0.9873,-0.031,3.527,-0.817
