i,ax,ay,az,gx,gy,gz
0,0.0979,0.1272,0.9375,-0.901,2.237,-0.008
1,0.104,0.1223,0.9399,-1.031,3.214,0.42
2,0.0959,0.1287,0.9241,-1.115,3.733,0.695
3,0.0925,0.125,0.9294,0.0,3.794,0.313
4,0.0879,0.1216,0.936,0.557,2.794,-0.198
5,0.095,0.1248,0.9365,1.427,2.489,-0.702
6,0.0999,0.1279,0.9409,1.397,2.603,-0.496
7,0.092,0.1257,0.9377,0.504,2.588,-0.252
8,0.0962,0.1311,0.9431,-0.13,3.122,-0.038
9,0.0972,0.1296,0.9348,-0.855,4.229,0.221
10,0.0906,0.1245,0.9355,-0.008,3.534,-0.229
11,0.0913,0.1223,0.9314,1.29,2.534,-0.458
12,0.0938,0.1274,0.9404,0.924,3.542,-0.366
13,0.0933,0.1311,0.9385,0.679,2.824,-0.046
14,0.0947,0.1304,0.9397,-0.061,2.344,-0.405
15,0.1003,0.1304,0.9412,-1.405,2.435,0.061
16,0.1025,0.1248,0.9307,-0.489,2.908,0.382
17,0.0989,0.1211,0.9382,-0.534,3.336,0.168
18,0.0911,0.1211,0.9355,0.382,2.557,-0.412
19,0.0947,0.1216,0.9407,1.58,3.336,-1.282
20,0.0999,0.1265,0.9309,1.305,3.405,-0.908
21,0.1072,0.134,0.9397,-0.672,3.328,0.74
22,0.0994,0.1262,0.9255,-3.252,3.771,1.924
23,0.0842,0.1211,0.9395,-1.55,4.489,1.015
24,0.0906,0.1248,0.9258,-1.092,3.672,0.099
25,0.0986,0.1228,0.937,-0.832,3.008,0.053
26,0.0889,0.1223,0.9297,-0.786,3.099,0.023
27,0.0906,0.1204,0.9304,-0.145,2.908,-0.466
28,0.093,0.126,0.9282,0.229,3.145,-0.779
29,0.1001,0.1277,0.9438,-0.183,2.809,-0.031
30,0.0955,0.123,0.9385,-0.038,3.397,-0.145
31,0.0913,0.1201,0.9402,0.328,3.641,-0.397
32,0.0972,0.1208,0.936,1.16,2.855,-0.351
33,0.0979,0.1235,0.9321,-0.069,3.466,0.237
34,0.0916,0.123,0.9268,0.115,3.023,0.076
35,0.0881,0.1228,0.9353,-0.489,3.427,-0.214
36,0.0913,0.1279,0.9331,0.374,3.099,-0.634
37,0.0969,0.1245,0.9409,-0.321,2.557,-0.374
38,0.0984,0.1216,0.9348,0.183,3.328,-0.618
39,0.0981,0.1267,0.9346,-0.221,3.557,0.237
40,0.0942,0.1252,0.9299,0.237,3.718,0.153
41,0.0862,0.1274,0.9341,0.641,3.748,-0.076
42,0.0898,0.1218,0.9329,0.733,2.573,-0.359
43,0.0986,0.1301,0.9441,0.244,2.244,-0.405
44,0.0981,0.125,0.938,-0.611,3.252,0.107
45,0.0974,0.1255,0.9319,-1.107,4.42,0.229
46,0.0884,0.1174,0.9346,-0.282,3.824,0.107
47,0.094,0.1233,0.9343,0.962,3.176,-0.511
48,0.0911,0.1211,0.9397,1.145,3.794,-0.359
49,0.0879,0.1252,0.9424,1.076,2.725,-0.626
