i,ax,ay,az,gx,gy,gz
0,0.28,0.0374,-1.0281,-5.794,13.183,-1.794
1,0.2671,0.0635,-1.062,-5.519,14.687,2.679
2,0.2434,0.0862,-1.0903,-2.718,11.603,-0.168
3,0.2527,0.0759,-1.1147,-0.725,1.046,-5.107
4,0.2285,0.0791,-1.053,2.885,-15.29,-6.473
5,0.2617,0.0684,-0.9917,2.298,-10.473,-10.305
6,0.2756,0.0601,-1.0378,-1.153,6.206,-5.832
7,0.2891,0.0405,-1.0962,0.794,3.863,-4.649
8,0.2561,0.061,-1.0549,4.137,-2.573,4.046
9,0.219,0.0818,-1.0059,2.168,6.198,-0.237
10,0.2563,0.0618,-1.0339,0.855,12.328,-0.779
11,0.2375,0.0522,-1.0835,0.718,9.763,3.214
12,0.2278,0.0876,-1.0725,1.786,4.221,-1.511
13,0.2512,0.0435,-1.0369,1.389,2.649,-1.0
14,0.2412,0.0688,-1.0171,-0.435,7.664,0.931
15,0.2749,0.0574,-1.0498,-1.122,12.908,-1.198
16,0.2676,0.0645,-1.0554,0.244,11.191,1.649
17,0.2585,0.0583,-1.0405,0.16,16.336,1.0
18,0.2637,0.0627,-1.0498,-3.458,12.336,1.305
19,0.2727,0.0703,-1.0593,-4.718,8.687,-0.725
20,0.2854,0.0625,-1.0564,-2.145,9.359,0.267
21,0.2771,0.0713,-1.0691,-0.679,6.16,1.145
22,0.2527,0.0732,-1.061,3.214,6.206,1.389
23,0.2305,0.0806,-1.0461,3.061,0.725,-2.115
24,0.2627,0.0664,-1.02,1.084,0.786,-6.435
25,0.2896,0.0493,-1.0498,0.71,10.031,-2.008
26,0.2822,0.0725,-1.0747,1.702,6.0,-1.397
27,0.2952,0.0471,-1.0493,5.351,4.634,0.504
28,0.2671,0.064,-1.0132,4.267,9.351,2.649
29,0.2712,0.054,-0.9988,2.282,13.71,1.176
30,0.2849,0.0527,-1.0117,-1.84,19.305,2.45
31,0.2905,0.0662,-1.0608,-3.252,18.595,0.618
32,0.2891,0.0708,-1.0808,-2.527,16.206,0.679
33,0.29,0.0801,-1.1128,1.191,6.412,-2.282
34,0.3118,0.0598,-1.0745,7.26,-1.954,-2.931
35,0.2922,0.054,-1.0237,8.588,-3.221,-1.45
36,0.2603,0.0525,-0.9929,7.206,-2.748,-1.504
37,0.2827,0.0537,-0.9683,4.053,8.855,-5.466
38,0.3147,0.02,-1.0327,-2.298,15.763,2.71
39,0.2847,0.0759,-1.0527,-3.695,15.389,3.748
40,0.3025,0.0725,-1.0835,-0.481,13.649,-0.328
41,0.3013,0.0632,-1.071,1.336,3.916,0.756
42,0.3066,0.0552,-1.0349,1.794,1.908,-1.947
43,0.3079,0.0383,-1.0051,1.908,2.786,-0.168
44,0.2991,0.0476,-0.9949,-0.702,8.458,0.351
45,0.2976,0.0471,-1.0254,-2.298,13.74,0.359
46,0.3262,0.0618,-1.0469,-2.435,14.374,-0.687
47,0.335,0.0444,-1.0659,-0.733,15.924,1.344
48,0.3105,0.0725,-1.0708,0.221,7.947,2.443
49,0.302,0.0632,-1.0376,2.939,0.389,-1.534
