i,ax,ay,az,gx,gy,gz
0,0.739,0.4604,0.5901,-21.122,99.58,7.046
1,0.7251,0.5417,0.5706,-3.496,93.809,-0.702
2,0.698,0.5684,0.6069,2.756,70.748,-16.0
3,0.6589,0.4954,0.6838,5.366,58.672,-30.55
4,0.6384,0.4412,0.7651,5.687,66.702,-34.542
5,0.6323,0.417,0.8132,-0.84,83.924,-29.046
6,0.6113,0.4199,0.7908,-5.725,93.954,-24.901
7,0.6167,0.4629,0.7578,-6.763,84.313,-26.275
8,0.5972,0.5081,0.7039,-5.824,62.802,-30.115
9,0.4885,0.5603,0.6755,-4.931,50.076,-34.939
10,0.4021,0.5913,0.6582,-3.29,54.427,-39.901
11,0.3682,0.5645,0.6064,-6.191,67.191,-42.26
12,0.291,0.5186,0.6003,-5.863,79.908,-42.298
13,0.2095,0.4683,0.6716,-6.069,94.511,-38.221
14,0.2197,0.4316,0.8652,9.924,112.916,-40.817
15,0.1646,0.4949,1.0203,48.863,121.145,-45.863
16,0.0132,0.6221,1.1257,89.58,109.168,-49.137
17,0.0032,0.7446,1.0747,94.0,78.389,-47.16
18,0.0281,0.6865,0.8806,59.031,49.664,-49.359
19,-0.0132,0.73,0.5203,29.42,27.176,-23.107
20,-0.0957,0.6289,0.3096,1.198,40.229,-3.153
21,-0.2107,0.3806,0.4082,9.595,55.031,-14.779
22,-0.3818,0.2861,0.5476,13.061,59.603,-36.55
23,-0.4377,0.3689,0.6787,13.588,70.16,-57.427
24,-0.3574,0.5273,0.7144,19.069,85.42,-65.626
25,-0.262,0.6953,0.7026,21.603,89.794,-64.183
26,-0.2083,0.7754,0.6868,14.557,78.588,-56.473
27,-0.252,0.718,0.6982,5.336,73.588,-49.603
28,-0.3113,0.6719,0.7168,7.779,79.359,-49.137
29,-0.3735,0.6394,0.7151,11.656,89.496,-50.786
30,-0.4941,0.6238,0.8267,7.397,103.046,-48.122
31,-0.4573,0.6191,0.9434,-5.336,94.794,-44.405
32,-0.2688,0.7712,0.8179,-27.42,61.076,-36.771
33,-0.083,0.8967,0.6252,-54.008,8.733,-27.244
34,0.0269,0.6985,0.2996,-78.214,-32.641,-14.901
35,-0.1191,0.5203,0.397,-75.595,-48.519,9.573
36,-0.3711,0.5984,0.5051,-52.45,-23.893,35.076
37,-0.2817,0.6418,0.3796,-22.351,-8.977,45.076
38,-0.4421,0.7129,0.4377,8.412,6.427,35.374
39,-0.6997,0.5012,0.396,41.618,-5.389,35.779
40,-0.7778,0.4912,0.6196,49.397,-8.962,40.122
41,-0.5654,0.5884,0.5867,23.718,-14.809,38.832
42,-0.3398,0.6411,0.9451,-4.504,3.244,24.099
43,-0.3486,0.5442,1.2678,21.588,15.374,-4.74
44,-0.2576,0.4958,0.9766,55.206,-7.015,-34.321
45,-0.0503,0.6152,0.7483,2.802,-51.618,-47.885
46,0.1033,0.5515,0.4277,-73.42,-79.374,-43.252
47,0.0371,0.5515,0.4656,-107.893,-57.45,-28.504
48,-0.0486,0.6865,0.5994,-92.252,5.496,-9.565
49,-0.1543,0.6135,0.8542,-27.328,54.29,15.511
