i,ax,ay,az,gx,gy,gz
0,0.3015,0.9092,-0.541,-20.191,8.725,-44.55
1,0.4248,0.8562,-0.3645,-5.817,-43.702,-6.015
2,0.3318,0.949,-0.4329,-30.198,-10.244,7.672
3,0.158,0.9578,-0.5588,3.908,-3.947,-5.168
4,0.1423,1.0632,-0.3835,39.344,-39.794,-29.466
5,0.2937,1.0186,-0.2729,-4.45,-52.802,-69.748
6,0.2454,1.0173,-0.3333,-80.504,-29.588,-108.092
7,0.2378,0.8813,-0.3408,-62.229,-3.328,-75.634
8,0.1721,0.8699,-0.3435,-34.298,5.397,-6.595
9,0.04,1.3105,-0.5186,-17.427,-4.931,12.405
10,0.2173,0.9419,-0.3691,4.0,-25.947,-8.786
11,0.2507,0.9026,-0.2722,12.328,-52.405,-1.145
12,0.0837,0.9094,-0.4998,-1.534,-39.137,20.282
13,0.1311,0.9521,-0.2666,-46.198,-30.901,14.366
14,0.1621,0.9314,-0.2683,-14.229,-51.145,2.573
15,0.0969,1.0232,-0.3242,14.626,-60.221,-17.664
16,0.1392,0.9697,-0.2822,3.641,-23.008,-38.809
17,0.0552,0.8879,-0.27,-24.137,39.206,-21.641
18,0.0752,0.8943,-0.3083,-41.779,62.672,24.908
19,0.1091,0.8845,-0.2957,-34.183,37.565,69.634
20,0.4614,0.78,-0.3062,1.573,12.45,0.137
21,0.1736,0.8582,-0.2983,-27.145,6.168,-8.0
22,0.1758,0.9314,-0.3125,-68.435,8.969,-21.053
23,0.1589,0.9697,-0.2461,-85.13,11.061,-26.221
24,0.1577,0.9836,-0.1887,-76.42,9.679,-25.649
25,0.1365,0.9824,-0.1543,-59.58,8.473,-19.519
26,0.1208,0.9827,-0.1067,-23.473,5.55,-8.275
27,0.134,0.9873,-0.1992,-8.901,3.115,-1.008
28,0.1216,0.9934,-0.1611,-10.878,3.84,-2.603
29,0.1252,0.9863,-0.1423,-2.939,3.496,-1.046
30,0.1311,0.9875,-0.1553,7.046,2.229,-0.046
31,0.1423,0.9941,-0.1587,8.305,2.221,2.031
32,0.1404,0.9902,-0.1675,5.336,2.656,0.901
33,0.1304,0.9856,-0.168,5.008,3.046,1.908
34,0.1274,0.9871,-0.1624,10.252,2.641,3.313
35,0.1377,0.9849,-0.1912,7.954,2.26,1.771
36,0.1399,0.9912,-0.1965,-7.176,3.71,-3.481
37,0.1267,0.9773,-0.1584,-6.679,3.924,-3.267
38,0.1299,0.9807,-0.1572,-1.824,3.107,-0.931
39,0.1274,0.9771,-0.165,1.832,2.908,0.282
40,0.136,0.9934,-0.1726,6.779,1.725,0.351
41,0.1362,0.9895,-0.1633,7.427,1.893,1.397
42,0.1365,0.9829,-0.1882,1.405,1.87,0.168
43,0.136,0.9895,-0.1697,-11.359,4.55,-1.519
44,0.1301,0.9873,-0.1599,-5.427,3.954,-1.275
45,0.1289,0.9863,-0.1621,1.191,3.023,0.794
46,0.1365,0.991,-0.1677,0.618,3.336,0.435
47,0.1355,0.9915,-0.1736,-2.42,3.427,-0.733
48,0.134,0.9866,-0.1626,-5.237,3.542,-2.374
49,0.1279,0.9829,-0.1536,4.725,2.237,-0.382
