i,ax,ay,az,gx,gy,gz
0,0.0496,0.1213,0.9407,2.13,1.977,-1.756
1,0.0552,0.1204,0.9404,2.756,2.015,-1.756
2,0.0593,0.123,0.9377,2.023,2.672,-1.847
3,0.0654,0.1255,0.9434,2.076,2.794,-0.214
4,0.0569,0.1272,0.9397,-0.046,2.412,0.389
5,0.0408,0.123,0.9375,0.168,2.473,-0.84
6,0.0537,0.1245,0.9424,1.344,1.107,-2.13
7,0.0605,0.1279,0.9351,1.298,-0.206,-1.634
8,0.0679,0.1277,0.939,-1.351,2.626,-0.603
9,0.0537,0.125,0.9419,-1.092,4.58,0.122
10,0.0581,0.1201,0.9382,-1.305,2.573,0.55
11,0.0549,0.1233,0.9387,-1.649,3.443,-0.191
12,0.0608,0.1277,0.9343,-0.374,2.076,-0.099
13,0.0532,0.1184,0.9326,-0.519,2.344,0.053
14,0.0588,0.1167,0.9346,0.809,2.458,-0.466
15,0.0632,0.1243,0.9421,0.756,3.313,-0.168
16,0.0569,0.1255,0.9419,0.053,2.412,0.176
17,0.0603,0.1248,0.9438,-0.679,3.374,0.55
18,0.0569,0.1221,0.9417,-0.969,3.198,0.45
19,0.0474,0.1206,0.9299,-0.351,4.092,0.015
20,0.0566,0.1206,0.9351,0.954,1.435,-0.687
21,0.0652,0.1272,0.9434,0.351,2.176,-0.656
22,0.0623,0.126,0.9385,-0.641,2.71,0.557
23,0.0559,0.1233,0.9409,-0.771,3.069,0.55
24,0.051,0.1172,0.9355,0.282,2.847,-0.481
25,0.0645,0.1265,0.9424,0.252,3.458,-0.053
26,0.0613,0.1248,0.9468,-0.733,3.893,0.534
27,0.0515,0.1208,0.9338,-0.214,2.733,-0.458
28,0.0588,0.1265,0.9409,-0.802,3.74,-0.435
29,0.0684,0.1206,0.9397,0.305,0.733,-0.443
30,0.0588,0.1172,0.9402,-0.015,2.885,-0.58
31,0.0574,0.1167,0.9409,0.771,2.634,-0.733
32,0.0579,0.1187,0.948,0.824,3.298,-1.13
33,0.0625,0.1233,0.9399,1.084,1.359,-0.74
34,0.0608,0.125,0.9395,0.893,1.351,-0.725
35,0.061,0.1238,0.9351,-0.038,2.489,-0.137
36,0.0623,0.1216,0.9404,0.779,2.038,-0.603
37,0.0693,0.1245,0.9385,-0.13,3.313,-0.137
38,0.0603,0.1226,0.9377,-0.298,4.496,0.374
39,0.0569,0.1179,0.9351,-0.16,2.863,-0.298
40,0.063,0.1199,0.9409,0.183,2.275,-0.954
41,0.064,0.124,0.9397,0.794,2.023,-0.466
42,0.0564,0.1182,0.9302,0.611,2.702,-0.634
43,0.0684,0.1274,0.9385,0.061,2.267,-0.748
44,0.0696,0.1306,0.9341,-0.779,2.42,0.26
45,0.0652,0.1177,0.936,-1.58,4.137,0.687
46,0.0537,0.1162,0.9351,-0.389,2.099,-0.191
47,0.062,0.1204,0.9353,0.504,0.855,-0.794
48,0.0706,0.126,0.9402,0.374,2.168,-0.603
49,0.072,0.127,0.9441,-0.221,2.618,0.282
