i,ax,ay,az,gx,gy,gz
0,0.1902,0.8069,-0.6184,0.45,4.855,-0.053
1,0.1953,0.8022,-0.6257,0.611,4.809,-0.374
2,0.1958,0.8032,-0.6331,0.542,4.794,-0.221
3,0.1992,0.7971,-0.637,0.252,5.382,-0.076
4,0.1938,0.8052,-0.6484,0.473,4.359,-0.458
5,0.1995,0.8059,-0.6411,1.321,3.229,-0.359
6,0.1924,0.8098,-0.6379,1.038,2.748,-0.092
7,0.1953,0.8113,-0.6284,0.198,3.298,-0.603
8,0.1938,0.8076,-0.6338,-0.305,3.389,-0.87
9,0.1917,0.804,-0.6348,-0.351,3.382,-1.061
10,0.1912,0.8003,-0.6321,0.046,3.344,-0.221
11,0.1985,0.8054,-0.6387,0.893,3.031,0.008
12,0.1985,0.8079,-0.6326,0.817,3.069,-0.313
13,0.1921,0.8042,-0.6282,0.313,2.29,-0.267
14,0.1892,0.8044,-0.6289,0.031,2.969,-0.458
15,0.1897,0.8005,-0.6313,0.802,4.58,-0.427
16,0.1929,0.8057,-0.6323,1.771,4.221,-0.267
17,0.1968,0.8064,-0.6296,0.939,3.229,-0.092
18,0.1958,0.8062,-0.6257,0.153,3.267,-0.336
19,0.196,0.8047,-0.6409,0.26,3.809,-0.458
20,0.2036,0.8049,-0.6414,0.13,3.473,-0.435
21,0.1978,0.7976,-0.644,-0.153,2.847,-0.328
22,0.1912,0.8027,-0.6379,0.603,2.748,-0.153
23,0.1926,0.8032,-0.6328,1.427,2.489,-0.519
24,0.196,0.8032,-0.6287,0.779,3.481,0.092
25,0.1982,0.8015,-0.6292,-0.061,3.748,0.069
26,0.207,0.7998,-0.6379,-1.153,4.115,-0.374
27,0.2073,0.7981,-0.6382,-0.603,3.458,-0.893
28,0.1897,0.8015,-0.6387,1.092,1.794,-0.908
29,0.1855,0.8057,-0.6367,1.298,1.359,-0.55
30,0.1895,0.8093,-0.6348,0.122,2.786,-0.473
31,0.1929,0.801,-0.6389,-0.809,3.786,-0.267
32,0.1931,0.803,-0.6301,-0.183,3.504,-0.382
33,0.1931,0.8032,-0.6357,0.794,3.267,-0.573
34,0.1956,0.8054,-0.6326,0.84,3.382,-0.16
35,0.1938,0.8054,-0.6355,1.229,3.412,-0.198
36,0.1919,0.8018,-0.6313,0.13,3.802,-0.382
37,0.1934,0.8035,-0.6384,0.153,4.137,-0.298
38,0.1978,0.8018,-0.6389,0.695,4.084,-0.183
39,0.1985,0.7952,-0.6431,1.344,4.45,0.031
40,0.1941,0.8022,-0.6399,0.656,4.641,-0.267
41,0.1997,0.8059,-0.6409,-0.718,4.603,-0.733
42,0.2053,0.7961,-0.6331,0.191,3.305,-0.84
43,0.1948,0.801,-0.6311,1.214,2.962,-0.504
44,0.1926,0.8,-0.6365,0.847,3.756,-0.267
45,0.1973,0.8025,-0.6294,0.275,4.756,-0.366
46,0.2007,0.8049,-0.6394,0.015,4.962,-0.489
47,0.1982,0.8025,-0.6453,0.733,3.931,-0.634
48,0.196,0.8083,-0.636,0.42,3.466,-0.473
49,0.2029,0.804,-0.637,-0.183,3.351,-0.603
