i,ax,ay,az,gx,gy,gz
0,0.0024,0.0693,-1.1348,-45.42,-42.046,9.817
1,-0.033,0.0615,-1.1533,-30.473,-34.031,-0.542
2,-0.02,0.0681,-1.1382,-29.282,-28.084,-2.771
3,-0.0449,0.0657,-1.1472,-27.786,-38.458,-0.198
4,-0.0195,0.0779,-1.1204,-27.656,-54.45,-1.336
5,-0.0447,0.0835,-1.1177,-28.931,-63.397,3.176
6,-0.0454,0.0959,-1.0762,-22.481,-55.58,4.397
7,-0.1213,0.0803,-1.0525,-16.389,-37.611,13.061
8,-0.1006,0.0991,-1.0227,-17.992,-44.405,6.214
9,-0.0994,0.0876,-0.9741,-7.122,-6.779,5.137
10,-0.1265,0.1091,-1.0139,2.71,33.405,7.214
11,-0.1396,0.0999,-1.0293,5.756,40.786,1.26
12,-0.103,0.092,-1.0305,2.13,43.427,-0.328
13,-0.0842,0.1035,-1.0986,-0.405,41.824,2.122
14,-0.0774,0.113,-1.1624,-0.802,17.611,3.885
15,-0.0754,0.1182,-1.1196,-1.786,-5.466,2.061
16,-0.0623,0.1013,-1.0413,-3.908,-2.145,0.198
17,-0.0591,0.1057,-1.0657,-0.069,15.046,1.038
18,-0.0635,0.0967,-1.1062,-1.0,9.802,2.29
19,-0.0764,0.1125,-1.1055,1.397,6.466,6.794
20,-0.084,0.1189,-1.0601,6.252,12.992,3.702
21,-0.0833,0.1099,-1.0525,5.313,22.26,0.534
22,-0.0708,0.1067,-1.1006,-1.229,17.107,0.672
23,-0.0674,0.1023,-1.1016,1.298,3.771,0.344
24,-0.0576,0.0977,-1.0295,3.031,2.534,1.328
25,-0.0537,0.1018,-1.0371,4.122,23.802,-0.557
26,-0.0427,0.0928,-1.0857,0.198,21.908,-1.664
27,-0.0342,0.0884,-1.1003,-1.863,7.87,0.893
28,-0.033,0.1047,-1.0549,-1.252,8.901,2.534
29,-0.0339,0.0957,-1.0601,-5.344,5.168,-2.305
30,-0.0171,0.1006,-1.0872,-4.191,5.87,-0.504
31,-0.0396,0.1067,-1.0754,-4.458,0.511,3.74
32,-0.0303,0.1108,-1.0591,-1.962,5.153,1.405
33,-0.0393,0.1147,-1.0747,2.206,19.328,1.954
34,-0.041,0.1099,-1.0857,1.221,19.282,1.71
35,-0.03,0.1069,-1.0708,1.954,12.954,0.725
36,-0.0178,0.1123,-1.0671,2.244,18.344,2.45
37,-0.0217,0.1135,-1.0908,-0.099,14.794,1.84
38,-0.0176,0.1077,-1.0852,-1.153,5.641,0.656
39,0.0059,0.0991,-1.0688,-4.427,-3.008,0.069
40,-0.0017,0.1094,-1.0627,2.679,12.87,3.702
41,-0.0181,0.1086,-1.0598,2.244,17.176,1.817
42,-0.0059,0.1038,-1.0901,-0.046,20.702,1.389
43,-0.0042,0.1196,-1.1135,-0.389,11.099,1.45
44,0.001,0.1086,-1.0913,0.649,-0.672,0.214
45,0.0051,0.1057,-1.0549,0.061,3.13,0.878
46,0.0117,0.1101,-1.0535,2.176,16.344,0.122
47,0.0105,0.0942,-1.0896,0.511,14.763,-0.847
48,0.0154,0.1086,-1.0986,-1.504,7.069,1.634
49,0.0125,0.1057,-1.0957,-0.366,0.137,0.267
