i,ax,ay,az,gx,gy,gz
0,0.3701,-0.436,-0.9006,0.229,3.344,-0.519
1,0.3718,-0.4355,-0.9062,-0.305,3.198,-0.748
2,0.3613,-0.4358,-0.9155,-1.26,3.718,-0.481
3,0.356,-0.4434,-0.9092,-1.779,3.328,-0.809
4,0.363,-0.4512,-0.9033,-0.893,2.542,-1.046
5,0.3696,-0.4443,-0.8994,0.565,2.855,-0.756
6,0.3694,-0.4424,-0.9055,1.221,3.924,-0.321
7,0.3696,-0.4412,-0.9136,1.053,3.824,-0.137
8,0.3677,-0.4377,-0.9077,1.015,3.328,0.099
9,0.3638,-0.437,-0.8972,0.611,2.824,0.115
10,0.3589,-0.4382,-0.9036,-0.359,2.985,-0.076
11,0.3657,-0.4363,-0.9067,-0.969,3.626,-0.458
12,0.3579,-0.4417,-0.9141,-1.061,3.366,-0.656
13,0.3665,-0.4429,-0.9087,-0.618,3.038,-0.878
14,0.3665,-0.4404,-0.9092,1.0,3.076,-0.489
15,0.3647,-0.4387,-0.9097,0.229,3.718,-0.099
16,0.3657,-0.4336,-0.9016,-0.076,3.901,0.015
17,0.363,-0.4375,-0.915,-0.229,3.466,-0.061
18,0.3652,-0.4404,-0.9041,0.588,2.534,-0.031
19,0.3628,-0.4446,-0.9109,0.847,2.611,-0.366
20,0.3662,-0.4399,-0.9106,-0.008,2.718,-0.74
21,0.3687,-0.4399,-0.9048,-0.053,3.023,-0.573
22,0.3618,-0.4399,-0.9001,0.489,3.0,-0.298
23,0.3643,-0.4409,-0.9045,0.366,3.137,-0.076
24,0.3689,-0.4399,-0.9045,0.229,2.924,-0.359
25,0.3647,-0.4426,-0.9053,-0.084,2.511,-0.725
26,0.3606,-0.4419,-0.9043,-0.153,2.939,-0.473
27,0.3643,-0.4397,-0.9021,-0.282,3.214,-0.405
28,0.3667,-0.4392,-0.9045,-0.351,3.687,-0.42
29,0.3601,-0.4417,-0.9067,-0.573,3.885,-0.58
30,0.365,-0.4395,-0.9048,0.107,3.405,0.084
31,0.363,-0.4421,-0.9023,0.71,2.901,-0.198
32,0.3647,-0.4365,-0.908,0.359,3.176,-0.023
33,0.3628,-0.4424,-0.9062,-0.802,3.382,-0.58
34,0.3674,-0.4407,-0.9067,-1.214,3.0,-0.771
35,0.3645,-0.4392,-0.9104,-0.611,2.687,-0.641
36,0.365,-0.4397,-0.9023,-0.603,1.672,-0.153
37,0.363,-0.437,-0.9028,-1.137,2.153,-0.427
38,0.3647,-0.4341,-0.9077,-1.489,2.504,-0.756
39,0.3569,-0.4365,-0.9163,-1.748,3.107,-1.122
40,0.363,-0.4414,-0.9182,-2.298,2.809,-1.573
41,0.3679,-0.4404,-0.9226,-1.924,3.374,-0.924
42,0.3711,-0.4373,-0.9011,-0.229,3.443,-0.389
43,0.3704,-0.4307,-0.9038,1.023,3.466,0.099
44,0.3677,-0.4314,-0.9102,1.702,3.313,0.023
45,0.3633,-0.4312,-0.9106,0.695,3.405,0.511
46,0.3567,-0.4314,-0.9128,-0.603,3.298,-0.107
47,0.3574,-0.4365,-0.9143,-2.015,2.443,-1.16
48,0.3557,-0.4397,-0.9055,-1.824,2.366,-1.672
49,0.3616,-0.4414,-0.9011,-0.817,2.931,-1.29
