i,ax,ay,az,gx,gy,gz
0,0.2632,-0.4492,-0.9421,0.519,2.634,-0.985
1,0.2576,-0.4529,-0.939,0.511,2.794,-0.313
2,0.2583,-0.4556,-0.9368,-0.26,3.389,-0.313
3,0.2539,-0.4531,-0.9351,-0.718,3.237,-0.794
4,0.2546,-0.4536,-0.9292,-1.031,3.405,-0.786
5,0.2622,-0.4539,-0.9368,-1.267,3.427,-0.901
6,0.2634,-0.4568,-0.9397,-1.244,3.664,-0.832
7,0.2656,-0.4551,-0.9392,-0.969,3.092,-0.573
8,0.26,-0.4551,-0.9443,-0.695,5.229,-0.45
9,0.26,-0.45,-0.9329,-1.008,4.763,-0.595
10,0.2639,-0.447,-0.9397,-1.748,3.779,-1.344
11,0.2681,-0.4441,-0.9385,-2.008,3.015,-0.962
12,0.2681,-0.4431,-0.9395,-1.863,3.458,-1.13
13,0.2688,-0.4448,-0.9421,-1.573,2.725,-1.206
14,0.2698,-0.4526,-0.9402,-1.229,2.748,-0.916
15,0.2629,-0.4475,-0.9426,-0.847,2.969,-0.702
16,0.2593,-0.4509,-0.9424,-0.55,3.321,-0.435
17,0.2607,-0.4573,-0.9375,-0.122,3.191,-0.336
18,0.2532,-0.458,-0.9465,0.481,3.74,-0.626
19,0.2612,-0.4495,-0.946,1.076,4.122,-0.16
20,0.2612,-0.4421,-0.9336,0.954,4.321,0.221
21,0.26,-0.4375,-0.9355,1.076,3.809,-0.084
22,0.2583,-0.4458,-0.9414,-0.466,3.527,-0.458
23,0.26,-0.4561,-0.9377,-1.55,3.45,-0.626
24,0.2607,-0.4534,-0.9363,-1.137,3.786,-0.74
25,0.2581,-0.4524,-0.9292,-0.382,3.595,-0.924
26,0.2639,-0.4495,-0.9353,0.038,4.069,-0.496
27,0.271,-0.4434,-0.9412,0.13,3.992,-0.618
28,0.2688,-0.4404,-0.9346,-0.275,3.031,-0.313
29,0.2683,-0.4456,-0.9414,-0.29,2.344,-0.542
30,0.2664,-0.4475,-0.9492,-0.611,2.275,-0.55
31,0.2676,-0.4458,-0.9292,-0.496,2.71,-0.733
32,0.2625,-0.4434,-0.9343,-0.023,2.786,-0.321
33,0.262,-0.4465,-0.9343,0.176,2.809,-0.55
34,0.2625,-0.4497,-0.9368,-0.046,3.45,-0.168
35,0.2676,-0.4465,-0.9404,-0.397,3.618,-0.374
36,0.2651,-0.4456,-0.938,-0.908,3.023,-0.42
37,0.2617,-0.4426,-0.9409,-0.023,3.351,-0.29
38,0.2625,-0.4497,-0.9419,0.45,3.504,-0.137
39,0.2581,-0.448,-0.95,0.29,3.603,-0.252
40,0.2576,-0.4504,-0.9351,-0.282,3.473,-0.244
41,0.261,-0.4534,-0.9387,-0.221,3.496,-0.29
42,0.2607,-0.4473,-0.9355,-0.237,3.466,-0.511
43,0.2639,-0.4421,-0.946,-0.603,3.748,-0.435
44,0.2666,-0.448,-0.939,-0.641,3.466,-0.435
45,0.2632,-0.447,-0.9409,-0.473,3.076,-0.282
46,0.2654,-0.4473,-0.9314,-0.29,2.985,-0.58
47,0.269,-0.4402,-0.9438,-0.115,4.763,-0.26
48,0.26,-0.4404,-0.939,-0.489,4.443,-0.359
49,0.2607,-0.439,-0.9392,-0.756,3.618,-0.145
