i,ax,ay,az,gx,gy,gz
0,0.0632,-0.144,-1.072,-0.053,3.275,-0.427
1,0.0652,-0.1399,-1.0725,0.229,3.252,-0.153
2,0.0625,-0.1418,-1.0732,0.115,3.191,-0.588
3,0.0669,-0.1392,-1.073,-0.008,3.084,-0.435
4,0.0625,-0.1404,-1.0723,0.038,2.855,-0.412
5,0.0654,-0.1406,-1.0737,0.214,2.947,-0.267
6,0.0632,-0.1367,-1.0659,-0.084,3.282,-0.374
7,0.063,-0.1389,-1.0732,-0.198,3.328,-0.237
8,0.061,-0.1404,-1.0632,0.168,3.282,-0.198
9,0.063,-0.1423,-1.0732,-0.176,3.176,-0.458
10,0.0645,-0.1389,-1.0652,0.275,3.305,-0.168
11,0.0647,-0.1392,-1.0713,0.26,3.237,-0.031
12,0.0654,-0.1379,-1.072,-0.053,3.229,-0.237
13,0.0657,-0.1399,-1.0701,0.145,3.145,-0.206
14,0.063,-0.1372,-1.0708,-0.115,3.13,-0.29
15,0.0657,-0.1396,-1.0762,-0.008,3.328,-0.244
16,0.0645,-0.1418,-1.0723,-0.191,3.282,-0.137
17,0.064,-0.1431,-1.0715,0.008,3.183,-0.176
18,0.0645,-0.1379,-1.0735,0.099,3.252,-0.252
19,0.063,-0.1426,-1.0735,-0.221,3.183,-0.282
20,0.0662,-0.1375,-1.0708,-0.168,3.313,-0.145
21,0.0645,-0.1367,-1.0696,0.076,3.29,-0.359
22,0.0671,-0.1396,-1.0693,0.305,3.145,-0.275
23,0.0632,-0.1375,-1.0703,0.069,3.168,-0.405
24,0.0647,-0.1382,-1.0608,0.145,3.298,-0.26
25,0.0659,-0.1382,-1.072,-0.099,2.87,-0.313
26,0.064,-0.1406,-1.0642,0.137,3.275,-0.183
27,0.0647,-0.1445,-1.0737,0.137,3.389,-0.061
28,0.064,-0.1416,-1.0684,0.214,3.145,-0.038
29,0.0645,-0.1414,-1.0701,0.313,3.099,-0.267
30,0.0623,-0.145,-1.0703,-0.137,3.313,-0.191
31,0.0674,-0.1409,-1.0737,-0.069,3.359,-0.252
32,0.0625,-0.1409,-1.0762,0.298,3.191,-0.374
33,0.0635,-0.1423,-1.0742,0.176,3.252,-0.595
34,0.0657,-0.1418,-1.0664,0.214,3.29,-0.053
35,0.0603,-0.1401,-1.0669,0.076,3.13,-0.084
36,0.0645,-0.1399,-1.0718,-0.099,3.26,-0.275
37,0.0623,-0.1384,-1.0725,0.115,3.344,-0.092
38,0.0652,-0.1399,-1.0706,0.13,3.359,-0.183
39,0.0623,-0.1389,-1.0728,-0.031,3.061,-0.229
40,0.0664,-0.1453,-1.0696,-0.313,3.313,-0.382
41,0.0676,-0.1379,-1.0769,0.076,3.321,-0.275
42,0.0613,-0.1414,-1.0737,0.031,3.16,-0.305
43,0.0632,-0.1377,-1.0718,0.046,3.397,-0.13
44,0.064,-0.1387,-1.0679,0.099,3.198,-0.305
45,0.064,-0.1406,-1.0713,0.053,3.115,-0.084
46,0.0627,-0.1426,-1.073,0.13,3.275,-0.252
47,0.0686,-0.1396,-1.0652,0.191,2.939,0.099
48,0.063,-0.1414,-1.0686,-0.069,3.313,-0.397
49,0.0632,-0.1421,-1.0735,0.176,3.244,-0.153
