i,ax,ay,az,gx,gy,gz
0,0.1831,-0.3503,-1.0024,0.565,3.061,-0.221
1,0.1841,-0.3484,-1.0051,0.466,3.656,-0.099
2,0.188,-0.3491,-0.9976,0.221,3.244,-0.183
3,0.1892,-0.3491,-0.9971,0.412,3.198,-0.305
4,0.1865,-0.3484,-0.9968,0.305,2.992,-0.733
5,0.189,-0.3525,-0.9995,0.275,2.992,-0.481
6,0.1863,-0.3479,-1.001,0.26,2.771,-0.305
7,0.1921,-0.3472,-1.001,0.58,2.802,0.015
8,0.1877,-0.3481,-1.0022,0.672,3.13,-0.397
9,0.1855,-0.3528,-0.9998,-0.069,3.069,-0.443
10,0.1875,-0.3481,-1.0071,-0.573,3.023,-0.588
11,0.1887,-0.3494,-0.9968,-0.473,3.084,-0.55
12,0.1919,-0.3477,-0.9968,0.313,2.885,-0.282
13,0.1887,-0.3501,-0.9958,0.763,2.939,0.053
14,0.1875,-0.3506,-0.9958,0.786,3.168,-0.084
15,0.1865,-0.342,-1.0002,0.366,3.672,-0.374
16,0.186,-0.3545,-1.0015,-0.183,3.802,-0.534
17,0.189,-0.3596,-1.0105,0.244,3.313,-0.366
18,0.1909,-0.3469,-0.9971,1.084,2.321,-0.229
19,0.1943,-0.3452,-0.9905,0.916,2.702,-0.298
20,0.1958,-0.3472,-0.9998,0.008,2.74,-0.344
21,0.1863,-0.3547,-1.0061,0.29,3.13,-0.29
22,0.1772,-0.3599,-0.9985,0.824,2.611,-0.076
23,0.1794,-0.354,-0.9863,0.718,2.023,-0.305
24,0.1858,-0.3538,-0.9873,0.939,3.359,-0.168
25,0.1912,-0.3516,-0.9985,0.336,4.443,-0.153
26,0.1948,-0.3508,-1.0024,-0.649,4.084,-0.649
27,0.1895,-0.3457,-1.0012,-0.504,3.13,-0.504
28,0.1926,-0.3469,-1.0015,-0.221,2.855,-0.313
29,0.1877,-0.3462,-1.0056,0.084,3.031,-0.359
30,0.1807,-0.3516,-0.998,0.336,2.786,-0.198
31,0.1846,-0.3501,-0.9939,0.321,2.878,-0.351
32,0.186,-0.3513,-0.999,0.321,2.924,-0.405
33,0.1887,-0.3477,-0.9966,0.336,3.053,-0.321
34,0.189,-0.3508,-1.0032,-0.053,3.534,-0.076
35,0.1814,-0.3474,-1.0032,0.168,2.824,-0.099
36,0.1853,-0.354,-1.0005,0.244,2.802,0.115
37,0.1831,-0.354,-0.9973,0.695,3.191,-0.359
38,0.1833,-0.3533,-0.9919,0.695,3.687,-0.198
39,0.1877,-0.3494,-0.9944,-0.015,3.107,-0.282
40,0.1904,-0.3501,-0.9973,-0.336,3.023,-0.725
41,0.1902,-0.3489,-0.9944,-0.58,2.466,-0.244
42,0.1855,-0.3508,-0.99,-0.641,2.519,-0.618
43,0.1892,-0.3552,-1.0039,-0.053,2.672,-0.26
44,0.1824,-0.3545,-0.9961,0.16,3.16,-0.298
45,0.186,-0.3506,-1.0059,0.427,3.588,-0.244
46,0.1873,-0.3501,-1.002,0.344,3.244,-0.214
47,0.187,-0.3474,-0.999,0.504,3.145,-0.229
48,0.1877,-0.3484,-1.0015,0.389,3.122,-0.183
49,0.1858,-0.3462,-0.9954,0.023,2.885,-0.366
