i,ax,ay,az,gx,gy,gz
0,0.2021,0.1169,-1.0164,-0.733,8.015,1.496
1,0.2097,0.1294,-1.0747,-4.588,7.832,2.405
2,0.2017,0.1462,-1.0647,-1.328,1.573,0.122
3,0.2219,0.1335,-1.05,-2.313,5.771,0.008
4,0.2134,0.1511,-1.0747,-2.16,6.84,0.115
5,0.2107,0.1501,-1.075,0.718,3.603,0.328
6,0.2061,0.1526,-1.0476,0.015,6.527,-0.58
7,0.208,0.1426,-1.0698,0.389,0.763,-1.71
8,0.2156,0.1409,-1.0474,1.55,5.695,-1.237
9,0.2063,0.1436,-1.0742,1.359,3.847,-1.626
10,0.2188,0.136,-1.043,1.756,4.489,-1.16
11,0.2117,0.1299,-1.043,1.0,7.786,-0.573
12,0.2102,0.1338,-1.0486,0.542,9.656,-0.763
13,0.2183,0.1289,-1.0708,1.405,4.29,-1.183
14,0.2134,0.125,-1.0432,1.42,0.916,-1.313
15,0.2258,0.1228,-1.0527,-1.237,1.344,-1.58
16,0.2212,0.1255,-1.0439,0.985,1.878,0.229
17,0.2102,0.1262,-1.0417,0.198,1.023,-1.359
18,0.229,0.1184,-1.0244,-0.351,0.573,-0.672
19,0.2048,0.1331,-1.0479,-1.611,8.595,0.802
20,0.2122,0.1267,-1.0674,-0.412,0.458,0.221
21,0.2119,0.1318,-1.0303,0.641,4.687,0.809
22,0.2061,0.1306,-1.0566,-0.687,3.267,-0.069
23,0.2253,0.1389,-1.0549,-0.198,6.221,-0.023
24,0.2004,0.1353,-1.0696,1.824,4.771,0.969
25,0.2178,0.1296,-1.0505,0.298,2.405,-0.511
26,0.2236,0.1274,-1.0366,-0.427,6.351,0.229
27,0.2095,0.1455,-1.0603,-0.275,5.618,-0.885
28,0.2302,0.1294,-1.0613,1.229,-0.756,-0.321
29,0.2175,0.1326,-1.0398,0.527,6.435,0.13
30,0.2173,0.1372,-1.0767,-1.443,-0.206,-1.496
31,0.2273,0.126,-1.0444,1.802,0.748,-0.405
32,0.2117,0.1316,-1.0508,0.824,6.0,-0.145
33,0.2048,0.1343,-1.0566,1.893,1.763,-0.969
34,0.2156,0.1238,-1.0442,1.672,2.595,-0.305
35,0.209,0.1245,-1.0374,0.481,4.794,0.008
36,0.2119,0.125,-1.0378,-0.321,3.573,-0.168
37,0.208,0.1274,-1.0498,-0.031,3.069,-1.053
38,0.2251,0.1311,-1.0564,-0.802,5.939,-0.84
39,0.2314,0.1235,-1.061,0.924,1.855,-0.405
40,0.2207,0.1233,-1.0496,0.153,4.725,0.099
41,0.2136,0.1296,-1.0649,-0.168,1.908,-0.672
42,0.2292,0.1287,-1.0364,1.137,5.26,0.229
43,0.2083,0.1292,-1.05,-0.153,3.58,-0.542
44,0.217,0.1313,-1.0549,-1.13,2.405,-0.687
45,0.2102,0.1284,-1.0535,0.45,3.099,-0.282
46,0.2136,0.1292,-1.0403,-0.992,2.58,-0.634
47,0.2231,0.1333,-1.0527,-1.008,4.756,-0.137
48,0.2068,0.1304,-1.061,-0.916,0.282,-0.718
49,0.2312,0.1255,-1.04,0.939,2.832,-0.038
