i,ax,ay,az,gx,gy,gz
0,0.3777,0.6184,0.6436,-4.466,6.153,1.237
1,0.3767,0.6243,0.6414,-4.443,5.679,-0.389
2,0.3823,0.6238,0.6292,-2.557,5.458,-2.527
3,0.3792,0.6343,0.615,-1.229,5.344,-4.145
4,0.3684,0.6428,0.6086,-0.344,5.985,-3.931
5,0.3733,0.6482,0.6179,-0.221,8.328,-2.725
6,0.3752,0.647,0.625,-0.992,9.779,-1.664
7,0.3743,0.6455,0.6411,-3.008,10.0,-0.649
8,0.3713,0.634,0.6287,-5.901,10.26,-0.924
9,0.3811,0.6279,0.6404,-6.802,10.962,-1.809
10,0.3826,0.6223,0.6316,-5.0,11.076,-2.511
11,0.3716,0.6282,0.6279,-2.389,10.298,-3.305
12,0.3638,0.6309,0.6165,-2.649,10.672,-4.115
13,0.365,0.6318,0.6257,-4.809,11.763,-4.763
14,0.3633,0.6389,0.6406,-5.29,13.252,-3.893
15,0.3547,0.6357,0.6492,-4.176,12.046,-2.0
16,0.3584,0.6313,0.6541,-4.076,10.641,-2.298
17,0.3459,0.6311,0.6541,-4.725,9.87,-1.885
18,0.3428,0.6167,0.6555,-4.702,9.229,-1.351
19,0.3447,0.6182,0.6523,-5.267,9.962,-1.359
20,0.3413,0.6113,0.6467,-6.267,11.618,-1.305
21,0.3472,0.6091,0.6414,-6.374,15.679,-2.092
22,0.343,0.6074,0.6575,-4.863,19.176,-3.496
23,0.3318,0.6069,0.6702,-2.725,20.519,-4.87
24,0.3064,0.6257,0.6677,-1.031,17.885,-3.779
25,0.2947,0.6392,0.6687,0.092,11.313,-2.58
26,0.2998,0.6384,0.6648,1.137,4.275,-2.489
27,0.2993,0.6318,0.6672,1.313,1.817,-2.565
28,0.3145,0.6211,0.6553,2.947,1.366,-2.084
29,0.324,0.6189,0.655,6.038,0.519,-1.557
30,0.3184,0.6255,0.6516,7.878,-1.244,-1.282
31,0.3171,0.6353,0.6543,7.412,-0.481,-1.023
32,0.3186,0.6355,0.6499,5.069,2.351,-0.954
33,0.325,0.6348,0.656,1.931,3.542,-0.588
34,0.3252,0.6377,0.6553,0.405,3.13,-0.351
35,0.3262,0.6384,0.6633,1.153,2.42,0.168
36,0.3271,0.6411,0.665,2.282,1.504,0.45
37,0.3213,0.6379,0.6648,2.878,1.031,0.527
38,0.3201,0.6392,0.645,2.71,1.611,1.282
39,0.3252,0.6323,0.6487,2.748,0.466,0.817
40,0.3213,0.6304,0.6423,2.908,0.206,0.504
41,0.3164,0.6284,0.6467,3.443,0.359,0.214
42,0.3308,0.6375,0.6538,4.298,0.45,-0.122
43,0.3367,0.6382,0.6528,3.824,0.885,-0.313
44,0.3298,0.647,0.6462,3.977,1.87,-0.084
45,0.3208,0.644,0.6421,3.634,2.985,0.206
46,0.3228,0.645,0.6562,2.603,1.878,-0.221
47,0.3206,0.6406,0.6545,2.374,0.55,-0.252
48,0.3284,0.6433,0.647,1.756,0.656,-0.122
49,0.3281,0.6382,0.6494,1.076,3.176,-0.076
