i,ax,ay,az,gx,gy,gz
0,0.2793,-0.429,-0.9465,1.298,3.023,-0.206
1,0.2808,-0.4404,-0.9517,1.214,3.603,0.0
2,0.2737,-0.4431,-0.9443,1.779,2.366,0.389
3,0.2781,-0.4373,-0.9358,2.985,2.244,0.656
4,0.2739,-0.4387,-0.9385,2.649,3.153,0.718
5,0.2734,-0.4368,-0.9397,1.527,2.985,0.58
6,0.269,-0.4419,-0.9385,0.832,2.718,0.534
7,0.2683,-0.4404,-0.9373,0.748,2.702,0.252
8,0.2759,-0.4468,-0.9417,0.756,2.977,0.084
9,0.2717,-0.4478,-0.9329,0.687,2.908,-0.031
10,0.2646,-0.4478,-0.929,0.947,2.893,-0.229
11,0.2651,-0.4463,-0.9392,1.664,3.298,0.198
12,0.2695,-0.4414,-0.9419,1.473,4.015,0.29
13,0.2764,-0.4343,-0.9421,0.634,4.382,-0.099
14,0.2754,-0.4363,-0.938,0.145,2.756,-0.328
15,0.2693,-0.4387,-0.9441,0.649,2.115,-0.45
16,0.2703,-0.4424,-0.9434,1.443,3.137,-0.038
17,0.2698,-0.4417,-0.9382,1.443,3.618,-0.183
18,0.269,-0.4436,-0.9299,1.336,2.71,-0.206
19,0.2727,-0.4436,-0.9387,1.489,2.931,-0.26
20,0.2754,-0.439,-0.9346,1.603,3.313,-0.084
21,0.2795,-0.4402,-0.9351,1.168,3.481,0.45
22,0.2737,-0.4431,-0.9365,0.305,2.504,0.305
23,0.2625,-0.4441,-0.9382,0.397,2.901,-0.053
24,0.2739,-0.4446,-0.9451,0.649,3.443,0.107
25,0.2688,-0.4448,-0.9426,0.901,4.557,0.008
26,0.2708,-0.4495,-0.9346,0.794,3.076,-0.351
27,0.271,-0.4478,-0.9326,1.611,1.779,-0.359
28,0.2646,-0.4424,-0.9316,2.397,2.802,-0.053
29,0.271,-0.4395,-0.9312,0.405,4.023,0.092
30,0.2783,-0.4456,-0.9326,-0.344,3.595,-0.122
31,0.2683,-0.448,-0.9331,-0.252,2.779,-0.29
32,0.2708,-0.449,-0.9414,0.397,3.565,0.069
33,0.2744,-0.4497,-0.9446,0.687,3.618,0.412
34,0.2649,-0.4509,-0.9363,0.855,3.13,0.084
35,0.2642,-0.4534,-0.927,1.069,2.351,-0.191
36,0.2703,-0.4434,-0.9377,0.893,3.786,-0.374
37,0.2778,-0.4409,-0.9321,0.473,3.977,0.046
38,0.2766,-0.4395,-0.9348,-0.069,3.0,-0.511
39,0.2678,-0.447,-0.9375,0.305,2.71,-0.565
40,0.269,-0.4485,-0.9392,0.817,3.053,-0.336
41,0.2686,-0.4456,-0.9333,0.473,3.496,-0.053
42,0.2732,-0.446,-0.9277,0.046,2.878,-0.183
43,0.2703,-0.449,-0.939,-0.252,1.763,-0.595
44,0.2705,-0.4504,-0.9382,0.099,2.74,-0.374
45,0.2744,-0.4507,-0.9421,0.29,3.885,-0.382
46,0.2666,-0.4504,-0.9424,-0.137,3.321,-0.443
47,0.2612,-0.4536,-0.9307,-0.481,2.443,-0.565
48,0.2622,-0.4524,-0.9414,-0.191,3.321,-0.336
49,0.2673,-0.4492,-0.937,0.031,4.298,-0.435
