i,ax,ay,az,gx,gy,gz
0,0.251,-0.4578,-0.9429,0.084,3.145,-0.443
1,0.2537,-0.4578,-0.9304,0.473,3.023,0.023
2,0.2524,-0.46,-0.9377,0.359,3.26,-0.061
3,0.2478,-0.4573,-0.9375,-0.038,3.176,-0.099
4,0.2473,-0.4604,-0.9343,-0.748,2.679,-0.221
5,0.2439,-0.4602,-0.9309,-0.244,2.885,-0.527
6,0.2507,-0.4631,-0.9285,-0.198,3.26,-0.405
7,0.251,-0.4624,-0.9419,0.374,3.718,-0.275
8,0.2495,-0.4563,-0.9338,0.504,3.855,-0.115
9,0.2512,-0.4558,-0.9387,0.107,3.55,-0.244
10,0.2488,-0.4585,-0.9363,-0.305,2.588,-0.519
11,0.2429,-0.4602,-0.9324,-0.122,3.023,-0.435
12,0.2527,-0.4553,-0.9329,-0.13,3.519,-0.42
13,0.252,-0.4556,-0.9353,0.366,3.542,-0.603
14,0.2522,-0.4622,-0.9456,0.115,2.756,-0.679
15,0.2485,-0.4622,-0.9395,0.405,2.496,-0.305
16,0.2495,-0.4644,-0.9351,0.802,2.489,-0.198
17,0.2505,-0.4578,-0.9219,0.008,2.985,-0.42
18,0.249,-0.459,-0.9421,-0.863,3.206,-0.534
19,0.2461,-0.4639,-0.9399,-0.496,3.504,-0.527
20,0.252,-0.4612,-0.9414,0.107,3.71,-0.679
21,0.2559,-0.4585,-0.9365,-0.038,3.168,-0.328
22,0.25,-0.4583,-0.9333,-0.458,2.878,-0.313
23,0.248,-0.4604,-0.9233,-0.237,3.137,-0.252
24,0.2495,-0.4622,-0.9343,0.458,3.901,-0.168
25,0.2473,-0.4617,-0.9417,-0.206,3.786,0.076
26,0.25,-0.4604,-0.9355,0.191,2.809,-0.443
27,0.2515,-0.4556,-0.9263,0.634,3.397,-0.198
28,0.2576,-0.4536,-0.9336,-0.069,3.466,-0.351
29,0.2593,-0.46,-0.9395,0.0,2.015,-0.107
30,0.248,-0.4614,-0.9331,0.718,2.053,0.13
31,0.2429,-0.459,-0.9392,0.191,2.748,-0.153
32,0.2456,-0.4573,-0.936,-1.008,3.122,-0.389
33,0.2439,-0.4626,-0.9333,-1.252,3.382,-0.511
34,0.2471,-0.4648,-0.9355,0.656,3.405,-0.802
35,0.2573,-0.4609,-0.9429,0.939,3.679,-0.656
36,0.2551,-0.4539,-0.9453,0.351,3.473,-0.176
37,0.2483,-0.4543,-0.9331,-0.626,3.198,-0.267
38,0.2476,-0.4639,-0.9287,-0.328,3.046,-0.412
39,0.2466,-0.4656,-0.9348,0.511,3.618,-0.519
40,0.2512,-0.4612,-0.9299,0.321,3.29,-0.55
41,0.2554,-0.4585,-0.9431,0.366,2.977,-0.198
42,0.2556,-0.4541,-0.9412,1.122,2.87,-0.122
43,0.2476,-0.4558,-0.9438,1.099,2.954,-0.099
44,0.2502,-0.4556,-0.9363,-0.16,2.794,-0.092
45,0.2451,-0.4619,-0.9441,-1.107,2.313,-0.435
46,0.2446,-0.4629,-0.9302,-1.16,3.183,-0.58
47,0.2502,-0.4651,-0.9302,-0.237,3.481,-0.588
48,0.2524,-0.4583,-0.9382,0.137,3.046,-0.641
49,0.2539,-0.4585,-0.9368,0.496,3.557,-0.58
