i,ax,ay,az,gx,gy,gz
0,0.2107,0.135,-1.075,11.305,-3.206,-2.611
1,0.1099,0.1121,-1.0269,14.809,-12.595,2.206
2,0.1289,0.1248,-1.0308,14.87,-27.26,2.023
3,0.0886,0.1035,-1.073,8.641,-14.206,5.153
4,0.0457,0.095,-0.9768,10.947,-25.084,1.198
5,0.0461,0.104,-0.9685,-9.595,-19.962,-1.786
6,0.0938,0.1111,-1.1013,-21.26,15.214,-1.771
7,0.0269,0.1252,-1.1323,-16.168,16.206,3.931
8,0.0645,0.1167,-1.0801,-10.664,-1.015,-0.435
9,0.0632,0.1438,-1.0952,-7.824,-1.16,0.061
10,0.0789,0.1338,-1.1135,-1.969,-0.534,-0.733
11,0.0735,0.1375,-1.0593,-1.443,5.931,0.725
12,0.0559,0.1489,-1.0698,2.748,4.305,-2.229
13,0.1296,0.1401,-1.0684,1.099,-1.069,-0.786
14,0.0974,0.125,-1.0625,1.908,-0.748,-2.519
15,0.0703,0.1389,-1.0696,6.397,10.038,0.771
16,0.0967,0.1257,-1.0964,6.374,-0.313,-5.473
17,0.1072,0.0952,-1.0276,3.779,-1.42,-2.87
18,0.0872,0.124,-1.0779,6.557,2.382,-0.351
19,0.1116,0.0972,-1.0674,3.473,-2.458,-2.802
20,0.1096,0.1248,-1.054,3.908,9.496,1.779
21,0.0581,0.1511,-1.0879,4.038,0.519,0.863
22,0.0647,0.1182,-1.0977,2.427,-5.336,-1.786
23,0.0671,0.147,-1.1221,-3.427,-11.069,-2.282
24,0.0632,0.1409,-1.0994,-0.008,-13.435,-0.221
25,0.0393,0.137,-1.0972,0.786,-13.634,-1.351
26,0.064,0.1479,-1.0884,3.328,-9.366,0.221
27,0.0432,0.1289,-1.0579,6.992,2.481,2.496
28,0.0354,0.1335,-1.0642,8.412,0.855,0.45
29,0.041,0.1279,-1.0808,8.084,0.45,2.389
30,0.0198,0.1162,-1.0869,6.153,-10.534,-0.977
31,0.0798,0.1069,-1.0723,6.412,-10.183,0.16
32,0.0225,0.1079,-1.0913,5.542,-1.893,3.71
33,0.0142,0.0991,-1.0767,3.878,-4.878,1.641
34,0.0515,0.0818,-1.0496,2.229,-7.794,1.137
35,0.0076,0.0925,-1.0625,0.252,-2.794,1.16
36,0.0056,0.0957,-1.053,-1.992,-4.237,-0.298
37,-0.0085,0.0876,-1.0508,-4.794,9.832,0.527
38,0.0034,0.1169,-1.0564,-3.0,17.275,0.252
39,0.0554,0.1011,-1.041,-10.916,3.282,-0.832
40,0.0339,0.124,-1.0754,-16.053,-3.809,-3.244
41,0.0178,0.135,-1.0771,-11.832,-8.214,-3.053
42,0.0149,0.1477,-1.1082,-7.573,4.405,0.481
43,0.0393,0.1091,-1.0603,-2.336,2.855,-1.84
44,0.0454,0.1042,-1.0442,-3.58,2.695,-0.076
45,0.0439,0.1345,-1.0874,-1.931,2.389,1.908
46,0.0369,0.1057,-1.0911,-0.771,-6.206,0.595
47,0.0237,0.113,-1.0583,-0.603,-1.168,3.473
48,0.0195,0.1284,-1.0574,2.656,6.046,5.695
49,-0.0015,0.1206,-1.041,0.847,1.924,3.74
