i,ax,ay,az,gx,gy,gz
0,0.1475,0.0925,-1.0701,1.275,6.511,1.069
1,0.1523,0.0876,-1.0674,0.611,3.282,-0.863
2,0.1531,0.0881,-1.0708,-1.336,0.107,-1.702
3,0.1592,0.0989,-1.0786,-0.153,-0.763,-2.962
4,0.1631,0.1013,-1.0818,2.321,6.344,1.244
5,0.1418,0.1001,-1.082,2.87,5.962,0.176
6,0.1487,0.0942,-1.0588,2.328,9.137,-0.26
7,0.1487,0.095,-1.0481,1.885,6.145,-1.237
8,0.1499,0.074,-1.032,1.832,6.435,-0.885
9,0.1294,0.0679,-1.0496,0.26,4.855,-1.847
10,0.1692,0.0505,-1.0505,-0.443,8.099,0.137
11,0.1624,0.0715,-1.0662,0.13,7.374,0.153
12,0.1829,0.0764,-1.0728,-0.282,4.847,1.183
13,0.1787,0.0896,-1.084,-0.389,-0.099,-0.29
14,0.1748,0.1121,-1.0874,-0.16,0.321,0.969
15,0.1475,0.1001,-1.0381,0.053,3.0,-0.069
16,0.1934,0.1099,-1.0657,-0.733,-0.687,-0.214
17,0.1892,0.1091,-1.0857,0.756,2.817,0.481
18,0.1445,0.1121,-1.0986,1.076,-1.366,-0.916
19,0.1814,0.1018,-1.1086,2.26,1.542,-0.092
20,0.1433,0.0913,-1.1104,4.855,5.053,1.489
21,0.1589,0.0776,-1.0681,4.702,3.214,-0.809
22,0.1733,0.0767,-1.0474,3.229,-1.611,-1.229
23,0.155,0.0664,-1.0334,2.595,1.344,-0.145
24,0.1401,0.0676,-1.0168,1.489,3.992,-0.863
25,0.1577,0.072,-1.0325,0.069,2.473,-0.229
26,0.1433,0.0759,-1.0515,-1.817,4.573,-0.206
27,0.1458,0.0896,-1.0701,-1.076,5.137,-0.863
28,0.1445,0.1003,-1.0925,-0.305,2.137,-2.115
29,0.1545,0.0913,-1.1006,0.191,1.656,-1.679
30,0.1663,0.0977,-1.1016,1.962,3.229,-0.382
31,0.1501,0.0818,-1.0737,4.206,7.695,2.191
32,0.1389,0.0608,-1.0361,2.137,3.626,-1.359
33,0.1536,0.0637,-1.041,0.634,2.511,-1.985
34,0.1499,0.0859,-1.0815,0.924,2.992,-0.481
35,0.168,0.0596,-1.0471,1.473,4.748,1.87
36,0.1499,0.0718,-1.0703,0.305,6.748,1.595
37,0.167,0.0686,-1.0591,0.832,5.947,1.931
38,0.1611,0.0688,-1.0649,0.748,6.45,1.702
39,0.1382,0.0825,-1.072,-0.26,4.13,0.015
40,0.1755,0.0806,-1.0747,0.603,6.435,3.13
41,0.1594,0.082,-1.0696,0.863,10.198,2.321
42,0.177,0.0815,-1.0632,1.435,6.481,1.374
43,0.1533,0.0913,-1.0793,-0.435,3.267,0.397
44,0.1755,0.0798,-1.0742,-0.435,3.885,-0.641
45,0.1675,0.0918,-1.0691,1.153,5.282,-0.275
46,0.1687,0.0835,-1.0586,1.55,7.595,0.855
47,0.1602,0.075,-1.0676,1.046,3.603,-0.771
48,0.186,0.0779,-1.0706,0.511,3.13,-1.74
49,0.179,0.0798,-1.0667,1.595,5.26,0.305
