i,ax,ay,az,gx,gy,gz
0,0.1689,0.9583,-0.2952,-0.458,3.008,-0.679
1,0.1692,0.9556,-0.2971,1.153,2.58,-1.084
2,0.1667,0.9543,-0.3059,1.878,1.794,-0.534
3,0.1621,0.9614,-0.2949,1.405,2.565,0.573
4,0.1685,0.9551,-0.3042,-4.038,4.13,1.122
5,0.1692,0.9575,-0.2937,-0.336,3.733,0.267
6,0.1716,0.9575,-0.3,1.023,2.756,-0.58
7,0.1692,0.9556,-0.3003,2.763,2.26,-1.221
8,0.1667,0.9565,-0.3093,2.305,2.229,-0.244
9,0.1646,0.9573,-0.2983,-1.977,3.74,0.336
10,0.1711,0.9565,-0.3071,-0.557,3.489,0.641
11,0.1729,0.9602,-0.304,1.389,3.176,0.298
12,0.168,0.9585,-0.312,1.763,2.763,0.053
13,0.1665,0.9575,-0.3123,-0.557,3.458,0.099
14,0.1682,0.9587,-0.3052,-0.664,3.725,0.092
15,0.1719,0.9556,-0.3123,2.229,2.824,0.534
16,0.1692,0.9573,-0.3052,2.275,2.58,-0.756
17,0.168,0.9583,-0.3079,-2.779,3.344,-1.099
18,0.1711,0.9624,-0.2993,-4.992,3.916,-0.954
19,0.1653,0.9561,-0.303,0.374,3.122,-0.031
20,0.1721,0.9531,-0.3027,0.595,3.145,-0.282
21,0.1733,0.9604,-0.3052,0.183,3.031,-0.038
22,0.167,0.96,-0.3022,1.656,3.176,0.26
23,0.1724,0.9534,-0.3076,3.16,2.832,0.763
24,0.1631,0.9534,-0.314,2.137,3.267,0.863
25,0.1753,0.9575,-0.2998,1.336,3.13,0.389
26,0.1738,0.9575,-0.3108,-0.321,3.191,-0.168
27,0.1721,0.9607,-0.3101,-2.099,3.534,-0.985
28,0.1692,0.9602,-0.3035,-0.359,3.168,-0.45
29,0.1702,0.9585,-0.3108,1.076,2.786,-0.198
30,0.1677,0.9558,-0.3135,-0.519,3.069,-0.802
31,0.1687,0.96,-0.301,-0.87,2.931,-0.832
32,0.1709,0.958,-0.3035,-0.992,3.122,-0.221
33,0.1689,0.9556,-0.3096,0.511,3.198,0.565
34,0.1675,0.9526,-0.3074,0.489,2.817,-0.267
35,0.1731,0.9612,-0.3093,0.351,3.069,-0.015
36,0.1694,0.9592,-0.2991,-0.26,3.626,0.649
37,0.1682,0.9573,-0.3015,1.565,3.374,1.13
38,0.1738,0.9575,-0.3047,2.924,3.107,0.908
39,0.1726,0.9556,-0.3152,3.084,2.641,0.313
40,0.1736,0.9578,-0.3066,1.771,3.153,0.084
41,0.1716,0.9531,-0.314,3.221,2.878,0.885
42,0.1704,0.9568,-0.3135,1.595,3.389,0.511
43,0.1733,0.9578,-0.3167,-1.16,3.29,-0.221
44,0.1711,0.9592,-0.3103,-0.046,3.084,-0.206
45,0.1689,0.9541,-0.3174,0.282,3.29,-0.687
46,0.1738,0.9568,-0.3071,-1.649,3.099,-1.076
47,0.1677,0.957,-0.3135,-1.779,3.221,-1.0
48,0.1677,0.958,-0.3037,-0.313,2.931,-0.397
49,0.1709,0.9519,-0.3115,0.29,3.191,-0.16
