i,ax,ay,az,gx,gy,gz
0,0.4231,-0.3306,-1.0793,-27.985,-155.244,137.588
1,-0.3333,-0.4897,-1.1416,0.099,-175.534,95.244
2,-1.1111,-0.5046,-1.5125,52.588,-107.099,41.527
3,-1.1965,-0.4641,-1.4924,64.473,-10.893,-34.45
4,-0.8308,-0.3982,-0.8555,50.656,21.031,-2.939
5,-0.5637,-0.406,-0.6057,31.076,23.221,-19.481
6,-0.1567,-0.436,-0.532,7.061,5.305,-10.137
7,0.1111,-0.3872,-0.6372,-2.863,6.504,10.092
8,0.0994,-0.4612,-0.7256,-21.641,-0.924,15.237
9,0.1184,-0.5684,-0.7532,-25.58,-0.473,24.328
10,0.0588,-0.6028,-0.874,-12.137,-2.779,27.718
11,-0.1494,-0.625,-1.0664,8.45,1.527,12.527
12,-0.3376,-0.6265,-1.1672,27.305,15.023,-10.374
13,-0.3298,-0.6492,-1.1177,21.687,26.496,-25.931
14,-0.1523,-0.6562,-0.9314,8.115,41.099,-35.313
15,0.0596,-0.6255,-0.6924,-4.305,45.267,-39.695
16,0.2563,-0.5984,-0.6648,-15.847,53.321,-39.954
17,0.448,-0.6133,-0.7661,-27.382,43.802,-36.672
18,0.5176,-0.6362,-0.863,-24.985,37.183,-27.153
19,0.4648,-0.5923,-0.9622,-11.099,31.359,-14.74
20,0.3425,-0.5437,-1.0037,0.298,21.13,-7.511
21,0.2117,-0.5315,-0.9902,3.763,13.336,-6.435
22,0.115,-0.533,-0.9053,2.061,16.038,-6.664
23,0.0452,-0.5422,-0.8367,-10.679,24.931,-8.511
24,0.1326,-0.5256,-1.0227,-25.542,27.427,-22.672
25,0.1609,-0.605,-1.0586,-32.45,-0.718,-35.382
26,0.1689,-0.5896,-0.9617,-14.389,-11.817,-18.466
27,0.2029,-0.5427,-0.8301,10.573,23.489,10.954
28,0.3105,-0.3748,-0.8394,4.099,43.328,1.13
29,0.3804,-0.2751,-0.8997,-3.466,24.809,12.511
30,0.4526,-0.3281,-0.8816,-14.931,9.198,-2.985
31,0.4509,-0.1897,-0.8953,11.45,-1.496,17.626
32,0.594,-0.5618,-0.8511,0.511,3.504,2.87
33,0.5132,-0.3926,-0.8606,19.496,5.29,0.687
34,0.4788,-0.6248,-0.9175,19.672,-10.405,-5.023
35,0.355,-0.5298,-0.9048,10.489,-17.282,-4.641
36,0.2649,-0.5229,-0.8308,2.42,-11.153,-0.542
37,0.2671,-0.5657,-0.8604,-4.305,2.031,3.275
38,0.2927,-0.5684,-0.8884,-6.366,9.496,5.351
39,0.3145,-0.5559,-0.8848,-0.458,9.855,5.305
40,0.335,-0.5061,-0.8418,2.924,6.29,3.42
41,0.312,-0.4988,-0.8127,-2.779,-0.511,2.229
42,0.2761,-0.5188,-0.8381,-13.992,-10.305,3.557
43,0.2363,-0.5505,-0.8757,-17.496,-11.863,4.092
44,0.2175,-0.5801,-0.9319,-13.0,-5.489,3.527
45,0.2168,-0.5972,-0.9558,-10.557,4.489,2.168
46,0.2314,-0.5845,-0.9233,-11.947,7.534,0.756
47,0.2612,-0.564,-0.9023,-15.321,6.031,-0.229
48,0.2754,-0.5171,-0.866,-13.603,5.321,0.221
49,0.2791,-0.4712,-0.8765,-8.092,1.656,-1.366
