i,ax,ay,az,gx,gy,gz
0,0.3743,-0.4204,-0.9045,0.672,2.26,0.267
1,0.3772,-0.4248,-0.9019,0.74,2.878,0.176
2,0.376,-0.428,-0.9045,-0.115,3.565,0.107
3,0.3772,-0.4236,-0.9175,0.145,3.802,0.076
4,0.3813,-0.4202,-0.9092,0.237,3.565,0.359
5,0.3755,-0.4248,-0.9114,0.252,3.206,0.26
6,0.3774,-0.4226,-0.9121,1.053,2.466,0.557
7,0.3765,-0.4275,-0.9209,1.649,3.26,0.45
8,0.3721,-0.429,-0.9199,1.55,2.977,0.45
9,0.3765,-0.4238,-0.9172,1.466,2.771,0.557
10,0.3779,-0.4236,-0.9058,1.282,2.115,0.45
11,0.375,-0.4197,-0.8999,0.863,2.443,0.481
12,0.3752,-0.4197,-0.908,0.481,2.977,0.015
13,0.3752,-0.4294,-0.9109,0.107,3.87,-0.031
14,0.3716,-0.4297,-0.9165,-0.099,3.473,0.107
15,0.3689,-0.4275,-0.9128,0.053,3.122,0.267
16,0.3743,-0.4292,-0.9131,0.641,2.527,0.137
17,0.377,-0.4316,-0.9102,1.321,3.229,0.397
18,0.375,-0.4231,-0.907,1.962,3.435,0.489
19,0.375,-0.4221,-0.9084,1.756,3.45,0.702
20,0.3718,-0.4255,-0.9048,1.221,3.458,0.267
21,0.3735,-0.4304,-0.9116,0.573,2.756,-0.13
22,0.3733,-0.4302,-0.9136,-0.214,2.817,-0.374
23,0.3682,-0.4338,-0.9182,0.183,3.305,-0.191
24,0.3721,-0.4268,-0.908,0.473,3.626,0.26
25,0.3726,-0.4292,-0.9014,0.74,3.252,0.351
26,0.377,-0.429,-0.9011,0.954,3.336,0.145
27,0.3723,-0.429,-0.908,0.573,3.328,-0.092
28,0.3728,-0.4312,-0.9146,0.29,2.969,0.183
29,0.3745,-0.4316,-0.9011,0.282,2.634,0.038
30,0.3735,-0.4329,-0.8982,0.351,2.84,0.084
31,0.3699,-0.4297,-0.9058,0.336,2.557,-0.084
32,0.3711,-0.4294,-0.9082,0.26,2.527,-0.252
33,0.3743,-0.4316,-0.9126,0.176,2.687,-0.313
34,0.376,-0.4321,-0.9062,0.45,3.053,-0.328
35,0.3718,-0.4324,-0.9072,0.267,2.847,-0.053
36,0.3762,-0.4307,-0.907,0.84,3.023,0.115
37,0.3699,-0.4336,-0.9019,0.595,2.878,-0.015
38,0.3669,-0.4277,-0.9055,0.412,2.733,-0.107
39,0.3726,-0.4304,-0.9148,0.214,2.855,-0.153
40,0.3745,-0.427,-0.9106,-0.183,3.206,-0.45
41,0.3704,-0.4285,-0.9111,-0.985,3.153,-0.733
42,0.3713,-0.4324,-0.905,-0.794,2.847,-0.855
43,0.3716,-0.4326,-0.9092,-0.74,2.656,-0.832
44,0.3696,-0.4316,-0.9072,-1.015,3.038,-0.725
45,0.3716,-0.4302,-0.9124,-0.099,2.878,-0.511
46,0.3733,-0.4292,-0.9089,0.053,2.885,-0.183
47,0.3733,-0.4294,-0.9109,0.847,3.901,0.237
48,0.3691,-0.4304,-0.9143,0.664,3.427,-0.221
49,0.3699,-0.4285,-0.9058,0.664,3.16,-0.229
