i,ax,ay,az,gx,gy,gz
0,0.3784,-0.4124,-0.9104,1.405,3.481,0.565
1,0.3745,-0.4143,-0.9121,0.679,3.748,0.45
2,0.3813,-0.4124,-0.9072,0.168,3.206,0.168
3,0.3843,-0.4163,-0.9153,0.13,2.863,-0.13
4,0.3826,-0.4204,-0.9148,0.649,3.275,-0.183
5,0.385,-0.417,-0.9092,0.901,3.725,0.237
6,0.3833,-0.4182,-0.9131,0.489,3.641,0.351
7,0.3809,-0.4175,-0.9202,0.84,3.305,0.237
8,0.3835,-0.415,-0.9194,1.595,3.366,0.573
9,0.3772,-0.4194,-0.9116,1.763,3.397,0.74
10,0.376,-0.4194,-0.9141,1.366,3.718,0.992
11,0.3765,-0.4158,-0.9097,1.008,3.695,0.695
12,0.3743,-0.4199,-0.9067,1.321,3.366,0.374
13,0.3755,-0.4165,-0.9182,1.183,3.168,0.366
14,0.3782,-0.4192,-0.9094,0.847,2.901,0.305
15,0.3823,-0.4185,-0.9165,0.267,2.702,-0.099
16,0.3838,-0.4192,-0.9104,0.267,2.382,-0.328
17,0.3794,-0.4224,-0.9045,0.84,2.473,-0.137
18,0.3762,-0.4246,-0.906,1.191,3.611,0.092
19,0.3723,-0.4226,-0.9111,0.641,4.198,-0.183
20,0.3755,-0.4202,-0.9165,0.42,3.702,-0.26
21,0.3828,-0.4167,-0.9167,0.901,3.298,0.008
22,0.3835,-0.4143,-0.8999,0.824,2.634,0.137
23,0.3838,-0.4219,-0.9146,0.557,3.008,0.031
24,0.3831,-0.4268,-0.9182,-0.076,4.16,-0.137
25,0.3733,-0.4263,-0.9182,-0.076,4.137,-0.374
26,0.3748,-0.4233,-0.9087,0.252,3.328,0.038
27,0.3728,-0.4277,-0.916,0.45,2.824,-0.183
28,0.3726,-0.4216,-0.9077,0.557,2.573,-0.137
29,0.3735,-0.4211,-0.9089,0.817,3.244,0.031
30,0.3767,-0.4211,-0.9053,1.015,3.443,0.023
31,0.3828,-0.4204,-0.906,0.489,3.351,-0.489
32,0.3855,-0.4197,-0.9138,-0.031,3.344,-0.42
33,0.3804,-0.4233,-0.9167,-0.702,2.84,-0.672
34,0.377,-0.4241,-0.9053,-0.321,3.023,-0.481
35,0.3767,-0.4231,-0.9001,0.191,3.435,-0.115
36,0.3835,-0.4233,-0.9016,0.344,2.947,-0.122
37,0.3845,-0.4236,-0.9104,0.008,2.954,-0.328
38,0.3794,-0.4216,-0.9148,0.496,3.221,-0.13
39,0.3733,-0.4216,-0.9138,0.015,2.679,-0.321
40,0.373,-0.4243,-0.907,-0.122,2.832,-0.321
41,0.3738,-0.4243,-0.9041,-0.405,2.885,-0.802
42,0.3779,-0.4233,-0.9092,-0.679,3.351,-0.87
43,0.3828,-0.4238,-0.9058,-1.046,2.863,-1.298
44,0.3787,-0.4231,-0.9124,-0.718,2.969,-1.313
45,0.3777,-0.4243,-0.9109,-0.542,3.267,-0.786
46,0.3765,-0.4233,-0.9155,-0.351,3.107,-0.641
47,0.3782,-0.4187,-0.9062,-0.405,3.244,-0.656
48,0.3811,-0.4241,-0.9094,-0.504,3.374,-0.603
49,0.3787,-0.4204,-0.9114,-0.519,3.16,-0.176
