i,ax,ay,az,gx,gy,gz
0,0.5781,0.4902,0.6104,0.13,4.664,-1.405
1,0.5642,0.49,0.6023,-0.389,4.71,-1.328
2,0.5667,0.4851,0.6072,-0.74,4.695,-1.924
3,0.5676,0.4871,0.5969,0.573,5.954,-2.275
4,0.5564,0.4956,0.6038,0.794,6.313,-2.359
5,0.5647,0.5015,0.6187,0.061,7.702,-2.229
6,0.5686,0.5066,0.6165,-1.542,8.046,-2.008
7,0.5601,0.5081,0.6167,-2.229,6.305,-2.076
8,0.5674,0.5103,0.6121,-1.916,4.534,-2.16
9,0.5669,0.5103,0.6091,-0.588,4.267,-1.626
10,0.5632,0.5127,0.6028,0.855,4.802,-1.45
11,0.5549,0.5127,0.6179,1.947,6.351,-0.45
12,0.5598,0.5054,0.6196,2.489,7.611,0.13
13,0.5645,0.501,0.6104,1.817,7.313,0.252
14,0.5654,0.4995,0.6177,1.298,5.55,-0.412
15,0.5676,0.4941,0.6194,0.794,4.695,-0.634
16,0.5701,0.4905,0.6243,0.427,4.664,-0.252
17,0.5657,0.4819,0.6255,0.405,5.206,-0.206
18,0.571,0.481,0.635,0.611,5.557,-0.641
19,0.5679,0.4819,0.6304,0.794,6.115,-0.718
20,0.5596,0.4929,0.6257,0.107,5.985,-0.855
21,0.5547,0.5,0.6213,-0.557,5.45,-0.771
22,0.5549,0.5012,0.6201,-1.076,4.626,-0.672
23,0.5581,0.5049,0.615,-1.023,4.336,-0.771
24,0.55,0.5034,0.6177,-0.252,4.496,-0.565
25,0.5481,0.5049,0.6179,1.046,5.817,-0.252
26,0.5471,0.5034,0.6152,1.908,7.031,0.267
27,0.5535,0.5017,0.6238,2.618,7.252,0.099
28,0.5503,0.498,0.6204,3.718,6.443,-0.153
29,0.5476,0.4946,0.6257,3.832,6.153,-0.618
30,0.5508,0.4949,0.6262,4.069,5.733,-0.695
31,0.5559,0.4927,0.637,2.916,5.115,-0.977
32,0.5591,0.4868,0.6353,1.229,5.389,-0.641
33,0.5627,0.4839,0.6335,-0.137,5.511,-0.55
34,0.5608,0.488,0.6428,-0.504,5.244,-0.214
35,0.5496,0.499,0.6357,-0.573,4.198,-0.29
36,0.5439,0.509,0.6355,-0.573,3.229,-0.695
37,0.5488,0.5063,0.6211,0.237,3.26,-1.008
38,0.5432,0.5112,0.6133,0.267,3.58,-1.13
39,0.5342,0.5151,0.6199,-0.489,4.443,-0.802
40,0.5376,0.5037,0.6226,-1.107,5.145,-0.947
41,0.5391,0.5056,0.6277,-1.947,3.847,-1.489
42,0.542,0.5005,0.6331,-2.015,3.191,-1.893
43,0.5435,0.501,0.6404,-0.908,3.679,-1.321
44,0.5464,0.5044,0.6318,-0.573,3.328,-2.023
45,0.5378,0.5156,0.6252,-1.252,2.58,-2.565
46,0.5359,0.5129,0.6189,-1.435,2.046,-2.672
47,0.5447,0.5146,0.614,-1.183,2.031,-2.427
48,0.5437,0.5188,0.623,-0.557,2.046,-2.229
49,0.5427,0.5217,0.6213,-0.015,1.962,-1.71
