i,ax,ay,az,gx,gy,gz
0,0.1775,0.1492,-1.0386,-1.748,0.649,-1.458
1,0.1694,0.1519,-1.0498,-1.015,1.718,-0.382
2,0.1702,0.1531,-1.0588,-0.756,3.687,0.038
3,0.1711,0.1638,-1.0796,-0.252,2.542,-0.405
4,0.1787,0.156,-1.051,1.756,2.962,0.947
5,0.1541,0.1533,-1.0544,0.649,1.557,-0.13
6,0.1604,0.1428,-1.0366,-0.061,6.511,0.053
7,0.1775,0.1584,-1.0798,-1.115,4.053,-0.603
8,0.1858,0.1584,-1.085,-0.344,0.878,-0.489
9,0.178,0.1509,-1.0422,0.115,2.679,-0.137
10,0.165,0.1465,-1.0437,0.191,4.618,0.153
11,0.1636,0.1567,-1.054,0.443,7.55,-0.344
12,0.1782,0.1619,-1.0713,1.107,10.031,0.092
13,0.1804,0.1611,-1.0757,2.901,8.015,-0.282
14,0.1719,0.1501,-1.0469,-0.053,-2.008,-1.252
15,0.1829,0.137,-1.0376,-1.511,-1.847,-0.748
16,0.1755,0.1572,-1.0627,-0.71,0.802,-0.351
17,0.1775,0.1572,-1.0623,0.229,4.069,-0.229
18,0.1438,0.1589,-1.0447,-0.015,7.924,-0.794
19,0.1714,0.1511,-1.0645,-1.282,2.969,-1.053
20,0.1921,0.1533,-1.0649,1.244,0.817,-0.58
21,0.1768,0.1426,-1.0356,0.901,1.443,-0.26
22,0.1711,0.1411,-1.0417,-1.252,1.58,-0.366
23,0.1672,0.1638,-1.0845,-0.45,4.374,0.466
24,0.1643,0.1641,-1.0737,1.336,4.031,-0.038
25,0.1624,0.1533,-1.0566,2.908,6.542,0.382
26,0.1665,0.145,-1.0381,0.229,3.389,-0.725
27,0.1895,0.1418,-1.0422,-0.664,5.275,-0.519
28,0.1724,0.1565,-1.063,-0.244,3.87,0.053
29,0.1843,0.1616,-1.0732,0.802,2.969,0.74
30,0.1592,0.1523,-1.0579,0.481,1.0,-0.634
31,0.1677,0.1401,-1.0315,-0.756,3.557,-0.809
32,0.1763,0.1555,-1.0706,-0.656,4.321,-0.565
33,0.1775,0.1558,-1.0583,1.496,6.069,-0.435
34,0.1592,0.158,-1.0542,0.863,3.305,-0.359
35,0.1819,0.147,-1.0461,-0.878,3.015,-0.527
36,0.1882,0.156,-1.0652,-0.458,-0.229,-1.16
37,0.1785,0.146,-1.0457,-0.298,-0.145,0.0
38,0.1621,0.1565,-1.0557,-1.13,-0.183,0.0
39,0.1692,0.1672,-1.074,0.901,2.58,0.336
40,0.1594,0.1509,-1.0483,1.267,5.496,-0.695
41,0.1604,0.1543,-1.0547,0.855,6.924,-0.168
42,0.1782,0.1519,-1.0806,0.702,3.817,-0.443
43,0.1843,0.1355,-1.0315,0.26,2.992,-1.115
44,0.1658,0.1399,-1.0378,-1.221,4.382,-0.473
45,0.1768,0.1555,-1.0889,-1.336,2.397,0.45
46,0.175,0.1616,-1.0703,0.458,3.649,0.305
47,0.1555,0.1526,-1.0422,1.725,5.679,0.069
48,0.1748,0.145,-1.053,0.229,6.557,-0.695
49,0.1948,0.1423,-1.0586,0.168,7.985,-0.031
