i,ax,ay,az,gx,gy,gz
0,0.1978,-0.3489,-0.9897,0.038,2.809,-0.351
1,0.2061,-0.3508,-0.9927,0.954,2.832,-0.893
2,0.2078,-0.3477,-0.9966,-0.397,2.969,-0.824
3,0.2036,-0.3455,-0.9988,-0.87,3.29,-0.847
4,0.2026,-0.3425,-1.0024,0.183,3.427,-0.595
5,0.2136,-0.3428,-1.0044,1.389,2.954,-0.443
6,0.2144,-0.3425,-0.9968,0.802,2.443,-0.473
7,0.2046,-0.342,-0.9895,-1.382,2.305,-0.374
8,0.2036,-0.3503,-0.9866,-1.824,1.916,-0.321
9,0.2087,-0.3459,-0.9958,-0.45,2.664,-0.695
10,0.209,-0.3433,-1.0029,0.351,2.137,-0.321
11,0.2031,-0.3411,-0.99,-1.382,1.863,-0.244
12,0.1982,-0.3474,-0.9978,-0.786,2.939,-0.145
13,0.2034,-0.3455,-0.9932,-0.053,2.71,-0.092
14,0.2026,-0.3508,-1.0054,0.229,2.55,-0.275
15,0.2,-0.3435,-1.0022,-0.42,2.336,-0.733
16,0.2083,-0.3423,-0.989,-1.13,3.366,-0.626
17,0.2151,-0.3469,-0.9985,-0.786,2.237,-0.611
18,0.2146,-0.3501,-0.999,-0.076,1.947,-0.527
19,0.2043,-0.3525,-0.9941,-0.099,2.183,0.046
20,0.1987,-0.3484,-1.0012,-0.779,1.908,0.145
21,0.1926,-0.3459,-1.0095,-1.0,1.786,-0.458
22,0.1946,-0.3496,-1.0007,-0.511,2.237,-0.855
23,0.2024,-0.3435,-1.0007,0.611,3.313,-0.679
24,0.2092,-0.3381,-0.9937,0.74,3.366,-0.374
25,0.2026,-0.3423,-0.9961,-0.382,2.931,-0.008
26,0.1985,-0.3459,-0.9946,-0.939,2.282,-0.275
27,0.2075,-0.3484,-0.999,-0.672,3.061,-0.649
28,0.2034,-0.3491,-1.0061,0.221,3.405,-0.626
29,0.2039,-0.3413,-1.0022,-0.076,3.061,-0.191
30,0.2019,-0.3435,-1.002,0.443,3.092,-0.389
31,0.2109,-0.3423,-1.0071,0.534,2.733,-0.611
32,0.2058,-0.3389,-0.9995,0.198,2.443,-0.351
33,0.1968,-0.3357,-0.9871,-0.473,1.901,-0.305
34,0.1968,-0.3367,-0.9758,-0.702,2.053,-0.489
35,0.1965,-0.3472,-0.9978,-0.115,2.962,0.046
36,0.2007,-0.3474,-0.998,-0.664,3.893,0.13
37,0.2043,-0.345,-1.0063,-0.527,3.58,-0.473
38,0.2114,-0.3501,-1.0151,0.702,3.031,-0.931
39,0.2102,-0.343,-1.0015,1.122,2.573,-0.817
40,0.2024,-0.3398,-0.9985,0.954,3.145,-0.145
41,0.2021,-0.3438,-0.9958,-0.176,3.328,0.29
42,0.1943,-0.3445,-0.9917,-0.656,2.656,-0.099
43,0.1985,-0.343,-0.9927,-1.099,2.649,-0.45
44,0.2039,-0.3459,-0.9988,-0.611,3.351,-0.527
45,0.2026,-0.3474,-1.001,0.076,2.565,-0.435
46,0.1956,-0.342,-0.9954,0.511,2.939,-0.519
47,0.2024,-0.3386,-1.0093,0.931,3.74,-0.611
48,0.2085,-0.3423,-1.0022,-0.267,2.985,-0.076
49,0.2009,-0.3423,-0.9998,-0.702,2.466,-0.244
