i,ax,ay,az,gx,gy,gz
0,-0.2578,-0.7859,-1.0256,37.58,18.519,-22.176
1,-0.2954,-0.6138,-0.9492,16.527,39.809,-19.069
2,-0.2683,-0.5496,-0.9155,-15.611,49.473,-25.328
3,-0.0627,-0.5117,-0.9084,-36.282,60.107,-38.855
4,0.2271,-0.4775,-0.9421,-42.947,51.45,-49.519
5,0.4556,-0.4548,-0.8977,-32.656,30.71,-45.137
6,0.5728,-0.4065,-0.8328,-11.641,20.565,-26.366
7,0.5679,-0.3982,-0.9177,0.733,18.481,-6.916
8,0.5222,-0.4719,-0.9438,-21.015,10.092,-1.023
9,0.3633,-0.5271,-0.9739,-36.145,-3.42,0.962
10,0.1763,-0.5322,-1.0295,-27.496,-5.748,5.756
11,0.0901,-0.4729,-1.0442,10.565,1.153,6.519
12,0.0859,-0.4131,-1.0164,28.191,10.756,8.023
13,0.0764,-0.4038,-0.946,14.656,11.061,8.237
14,0.1089,-0.4062,-0.8591,-11.069,7.023,0.069
15,0.1909,-0.4016,-0.8213,-20.168,16.183,-11.435
16,0.3555,-0.3162,-0.8049,-5.16,11.71,-21.298
17,0.49,-0.2463,-0.7966,19.557,-3.282,-9.061
18,0.5835,-0.2629,-0.8167,19.153,4.824,-3.496
19,0.5605,-0.1375,-0.9612,16.466,5.641,0.481
20,0.6074,-0.2524,-1.2585,-15.527,-5.0,5.611
21,0.574,-0.4944,-1.3005,-73.771,5.046,-2.344
22,0.5083,-0.4307,-1.0117,-20.733,-20.473,-19.511
23,0.2351,-1.3494,-0.7112,-20.321,-43.336,6.74
24,0.1797,-0.7053,-0.4822,61.916,-19.634,16.023
25,0.137,-0.3354,-0.6787,47.733,11.794,12.802
26,0.1414,-0.2544,-0.7974,19.176,40.397,7.763
27,0.1763,-0.342,-1.0132,-15.351,38.542,2.588
28,0.1877,-0.4807,-1.1152,-37.603,27.305,-4.649
29,0.2092,-0.5847,-1.1221,-38.847,12.046,-8.076
30,0.2654,-0.6631,-1.0325,-21.099,-12.687,-10.267
31,0.301,-0.6782,-0.9062,4.069,-23.229,-1.885
32,0.2849,-0.5864,-0.8748,16.351,-3.656,8.038
33,0.2332,-0.4807,-0.9121,10.847,18.725,15.221
34,0.1848,-0.3972,-0.9543,-1.847,26.519,15.42
35,0.1443,-0.3589,-0.9814,-10.229,19.992,8.695
36,0.1396,-0.3564,-0.9365,-11.443,3.084,-1.237
37,0.1594,-0.3604,-0.8721,-10.26,-0.214,-8.435
38,0.2083,-0.3733,-0.9028,-9.832,9.221,-13.992
39,0.2673,-0.4109,-0.9844,-9.863,12.107,-17.168
40,0.3254,-0.4812,-1.0234,-8.107,6.511,-17.679
41,0.3672,-0.5439,-0.999,0.267,-6.313,-13.679
42,0.3679,-0.5405,-0.9382,9.351,-11.824,-4.466
43,0.3762,-0.4834,-0.8662,14.382,-3.794,3.687
44,0.3621,-0.4319,-0.8237,7.298,6.534,7.992
45,0.3469,-0.4124,-0.8503,-6.137,11.389,7.443
46,0.3254,-0.4258,-0.9004,-15.076,9.038,5.962
47,0.3037,-0.4517,-0.9282,-15.496,6.176,3.916
48,0.2808,-0.4685,-0.9568,-9.366,2.489,1.634
49,0.2698,-0.4712,-0.9614,-2.412,-2.031,0.557
