i,ax,ay,az,gx,gy,gz
0,-0.0366,0.175,-1.0537,8.947,25.344,-0.924
1,0.0137,0.1619,-1.0051,3.611,20.595,-7.099
2,0.0532,0.1292,-1.0635,-20.023,28.061,-10.542
3,-0.0068,0.2966,-1.4475,-25.359,14.427,-4.053
4,0.1096,0.4333,-1.5413,-4.626,33.603,-10.672
5,0.0322,0.2441,-1.0891,64.366,-0.962,-17.992
6,0.0728,0.0828,-0.7322,53.931,0.13,-19.053
7,0.0767,0.0811,-0.8357,-3.282,22.618,-20.756
8,0.1135,0.1665,-1.1013,-21.122,39.809,-20.824
9,0.0703,0.199,-1.2937,-18.13,46.634,-18.206
10,0.0974,0.2275,-1.1343,-5.069,16.275,-14.328
11,0.083,0.0645,-0.9849,29.977,-8.756,3.809
12,0.0549,0.1348,-0.9468,24.366,2.84,5.763
13,0.0471,0.1157,-1.115,2.55,-6.641,-5.634
14,0.0991,0.1694,-1.1216,1.046,11.771,-5.282
15,0.074,0.1484,-1.0752,9.191,22.672,-4.092
16,0.0474,0.1165,-1.0129,-0.969,14.977,2.649
17,0.0459,0.1165,-1.0684,-1.176,0.435,-3.489
18,0.0791,0.1421,-1.0742,-7.763,7.511,-5.229
19,0.1035,0.1418,-1.105,-1.771,13.282,-4.733
20,0.0942,0.1506,-1.075,-0.931,8.344,-7.374
21,0.1033,0.1272,-1.0806,3.84,3.023,-6.405
22,0.1003,0.1167,-1.0559,10.13,-3.611,-1.008
23,0.0718,0.1116,-1.0449,16.42,-2.969,4.16
24,0.0776,0.1516,-1.0879,10.817,4.351,2.84
25,0.064,0.1409,-1.0923,9.885,6.344,4.603
26,0.0596,0.1489,-1.0437,-0.885,10.069,-0.206
27,0.0784,0.1157,-1.0432,-7.107,12.443,0.359
28,0.0835,0.134,-1.0828,-4.611,15.511,-0.023
29,0.1064,0.1299,-1.0842,0.588,3.435,2.534
30,0.1121,0.1206,-1.0439,6.168,11.901,3.771
31,0.1162,0.1274,-1.0864,4.656,2.527,6.466
32,0.0945,0.1284,-1.0408,-5.298,1.168,3.817
33,0.1013,0.1125,-1.0669,-11.321,-3.115,2.824
34,0.0879,0.1511,-1.0723,-9.511,0.878,3.382
35,0.0779,0.1462,-1.1003,-6.13,2.366,2.664
36,0.0852,0.1528,-1.0554,-4.611,3.198,1.786
37,0.0913,0.1401,-1.0781,0.267,-1.473,-1.313
38,0.1072,0.1379,-1.0591,1.809,-1.206,0.618
39,0.0894,0.1311,-1.0601,3.313,6.076,-0.435
40,0.0876,0.1375,-1.0776,-0.282,1.336,-0.977
41,0.0945,0.1479,-1.0977,-2.863,3.015,-1.802
42,0.0898,0.1414,-1.0515,-1.916,5.168,-3.427
43,0.0815,0.1311,-1.0796,-0.603,5.053,-1.076
44,0.0991,0.1301,-1.0737,-2.0,3.344,-2.351
45,0.1001,0.1387,-1.0474,-2.84,8.847,-2.008
46,0.0725,0.1404,-1.0681,-4.832,8.931,-2.191
47,0.0884,0.1655,-1.1091,-2.252,2.115,-2.29
48,0.0996,0.1445,-1.0586,-0.87,4.634,-2.695
49,0.0823,0.1316,-1.0378,-2.489,2.771,-1.863
