i,ax,ay,az,gx,gy,gz
0,0.2869,-0.4536,-0.9224,0.565,4.557,0.489
1,0.2852,-0.4558,-0.9153,-0.069,4.153,0.595
2,0.2837,-0.4561,-0.9221,-1.031,4.336,0.656
3,0.2849,-0.4553,-0.9353,-1.534,4.603,0.389
4,0.2822,-0.4504,-0.926,-1.824,4.344,0.275
5,0.28,-0.4556,-0.928,-1.916,3.786,-0.412
6,0.2749,-0.4609,-0.938,-1.817,4.603,-0.588
7,0.2769,-0.4514,-0.937,-1.122,5.351,-0.55
8,0.2803,-0.4409,-0.9438,-0.405,4.015,-0.588
9,0.2842,-0.4453,-0.9307,-0.435,2.832,-1.031
10,0.2803,-0.4434,-0.937,-1.023,2.275,-1.489
11,0.2808,-0.4529,-0.9319,-1.176,2.832,-1.786
12,0.2808,-0.4487,-0.927,-0.481,3.412,-1.542
13,0.2852,-0.4487,-0.9268,-0.733,3.557,-0.824
14,0.2856,-0.4514,-0.9292,-1.382,3.618,-1.0
15,0.2876,-0.4458,-0.9326,-2.275,4.267,-0.519
16,0.2886,-0.4495,-0.9368,-2.053,5.725,-0.336
17,0.2871,-0.4534,-0.938,-1.359,4.603,-0.87
18,0.2893,-0.4587,-0.9302,-1.183,3.435,-0.74
19,0.2937,-0.4487,-0.9294,-0.527,3.618,-0.153
20,0.2888,-0.4336,-0.9236,-1.008,4.427,-0.305
21,0.2893,-0.4355,-0.9285,-1.527,3.603,-0.702
22,0.2883,-0.438,-0.9385,-1.534,3.74,-0.397
23,0.2859,-0.4382,-0.939,-1.504,4.534,-0.344
24,0.2849,-0.447,-0.9412,-0.672,3.115,-0.565
25,0.282,-0.4436,-0.9331,-0.649,2.137,-0.656
26,0.2791,-0.4446,-0.9365,-0.13,2.832,-0.458
27,0.2827,-0.4492,-0.9268,-0.145,3.939,-0.489
28,0.2913,-0.4414,-0.9385,-0.313,3.985,-0.649
29,0.293,-0.4419,-0.936,-0.29,3.237,-0.695
30,0.2964,-0.4404,-0.9299,-0.687,2.176,-0.794
31,0.2844,-0.448,-0.9324,-0.802,1.649,-0.947
32,0.2839,-0.4434,-0.9302,-0.634,2.595,-0.634
33,0.2888,-0.4448,-0.9292,-0.13,3.565,-0.573
34,0.2878,-0.4412,-0.9287,-0.359,3.565,-0.74
35,0.2832,-0.4338,-0.9368,-1.527,3.282,-1.267
36,0.2861,-0.4338,-0.9263,-2.504,3.908,-1.443
37,0.292,-0.4343,-0.9377,-2.824,4.084,-1.496
38,0.2891,-0.439,-0.9443,-2.0,3.221,-1.183
39,0.2856,-0.4365,-0.9341,-1.366,1.84,-0.908
40,0.2837,-0.4346,-0.9326,-1.412,2.412,-0.885
41,0.2834,-0.4299,-0.9331,-0.55,3.71,-0.817
42,0.2881,-0.4373,-0.9417,-0.099,3.969,-0.832
43,0.2888,-0.4358,-0.9487,0.084,3.229,-0.809
44,0.2861,-0.4324,-0.9395,0.603,2.595,-0.947
45,0.2861,-0.4333,-0.9404,0.962,2.878,-0.855
46,0.2891,-0.4375,-0.9434,0.618,2.947,-0.595
47,0.2905,-0.4392,-0.938,0.344,2.916,-0.519
48,0.2874,-0.4385,-0.9302,0.847,3.229,-0.504
49,0.2893,-0.437,-0.9382,0.557,3.145,-0.397
