i,ax,ay,az,gx,gy,gz
0,0.2568,-0.4492,-0.9456,-0.573,3.214,-0.664
1,0.2551,-0.4524,-0.9404,-0.13,2.511,-0.481
2,0.2554,-0.4495,-0.9465,0.634,2.55,-0.511
3,0.2529,-0.4473,-0.9307,-0.115,3.626,-0.351
4,0.2593,-0.4492,-0.9358,-0.366,3.466,-0.412
5,0.261,-0.4512,-0.9375,-0.641,2.985,-0.489
6,0.2576,-0.449,-0.9412,-0.649,2.733,-0.573
7,0.2524,-0.4482,-0.9375,-0.626,2.985,-0.313
8,0.2532,-0.4487,-0.9448,-0.366,3.191,-0.405
9,0.2576,-0.4521,-0.9395,-0.42,3.115,-0.672
10,0.2583,-0.4521,-0.9446,-0.13,3.527,-0.519
11,0.2595,-0.4539,-0.9485,0.206,3.099,-0.13
12,0.2571,-0.4468,-0.9441,0.687,2.916,-0.389
13,0.2529,-0.4421,-0.9412,0.092,3.061,-0.458
14,0.2568,-0.4458,-0.9487,-1.588,3.305,-0.397
15,0.2612,-0.4575,-0.9392,-1.015,2.855,-0.198
16,0.2595,-0.4565,-0.9412,0.863,1.672,-0.634
17,0.2534,-0.4514,-0.9465,1.977,2.74,-0.214
18,0.2542,-0.4526,-0.9453,0.802,3.763,0.145
19,0.2546,-0.4495,-0.9382,-0.031,3.817,-0.069
20,0.259,-0.4478,-0.9292,0.168,3.603,-0.534
21,0.2654,-0.447,-0.9382,-0.061,2.26,-0.252
22,0.2583,-0.4485,-0.9434,-0.405,2.092,-0.069
23,0.2483,-0.4521,-0.9392,-0.534,2.855,0.634
24,0.2498,-0.4497,-0.9395,0.206,3.405,-0.115
25,0.248,-0.4492,-0.9348,0.221,3.183,-0.443
26,0.2515,-0.449,-0.9375,-0.26,3.71,-0.901
27,0.2561,-0.4497,-0.9436,-0.748,3.832,-1.229
28,0.261,-0.4475,-0.9363,-0.595,3.611,-0.733
29,0.2593,-0.4524,-0.9351,0.008,3.153,-0.626
30,0.2551,-0.4561,-0.9426,-0.107,2.656,-0.214
31,0.2593,-0.4519,-0.9407,0.26,2.817,-0.115
32,0.2585,-0.4546,-0.9497,0.84,3.183,0.015
33,0.2549,-0.4468,-0.936,0.779,3.794,-0.16
34,0.2585,-0.4458,-0.939,-0.107,2.878,-0.145
35,0.2524,-0.4443,-0.9534,-1.328,2.534,-0.45
36,0.2495,-0.4497,-0.9419,-0.527,2.344,-0.351
37,0.26,-0.4504,-0.9443,0.939,2.466,-0.229
38,0.2546,-0.4492,-0.9382,1.206,2.542,-0.198
39,0.2495,-0.4504,-0.9458,0.55,2.832,-0.069
40,0.2498,-0.4531,-0.9375,0.237,2.496,-0.206
41,0.2539,-0.4558,-0.9343,0.588,2.359,-0.427
42,0.2576,-0.4507,-0.9351,0.473,2.588,-0.176
43,0.2539,-0.4534,-0.9485,0.229,2.985,-0.061
44,0.2527,-0.4504,-0.9407,0.237,3.031,-0.313
45,0.2563,-0.4473,-0.9351,-0.298,3.16,-0.176
46,0.2554,-0.4502,-0.9412,-0.656,2.702,-0.481
47,0.2534,-0.45,-0.9348,-0.29,2.947,-0.511
48,0.2578,-0.4495,-0.9331,0.45,2.87,-0.443
49,0.2561,-0.4458,-0.9451,0.664,3.176,-0.496
