i,ax,ay,az,gx,gy,gz
0,0.0781,0.8059,0.6665,-9.023,23.924,-3.885
1,0.0256,0.8059,0.55,-2.046,18.534,-7.198
2,-0.054,0.8215,0.4663,-7.481,20.84,-14.802
3,-0.0779,0.7,0.4756,-33.496,29.305,-12.015
4,-0.0884,0.7759,0.5774,-19.718,20.359,-6.924
5,-0.0298,0.7253,0.5925,-20.427,7.328,-3.374
6,-0.0271,0.7319,0.5967,-21.275,1.321,-0.382
7,-0.0171,0.7336,0.6106,-26.756,1.092,1.252
8,-0.0103,0.7234,0.6287,-32.214,3.603,0.153
9,-0.0042,0.7053,0.635,-32.374,4.695,-1.718
10,-0.0073,0.7036,0.6475,-30.695,5.321,-3.611
11,-0.0139,0.7021,0.6616,-30.954,8.802,-5.427
12,-0.0266,0.6924,0.6921,-27.542,10.664,-5.977
13,-0.0391,0.6833,0.7014,-18.618,6.817,-3.817
14,-0.0388,0.6895,0.7124,-9.748,2.305,-0.45
15,-0.0327,0.6921,0.7217,-3.16,-0.603,1.718
16,-0.0254,0.679,0.698,5.038,-3.092,2.924
17,-0.0132,0.6785,0.667,9.214,-4.802,4.229
18,-0.0122,0.6865,0.6423,3.824,-4.489,3.756
19,-0.0037,0.6809,0.6389,-3.74,-2.176,3.237
20,-0.0046,0.6736,0.6406,-9.053,0.168,2.038
21,-0.0073,0.6731,0.6426,-13.573,1.664,0.756
22,-0.0022,0.6758,0.6636,-20.16,2.519,-0.244
23,-0.0107,0.6682,0.6775,-24.45,3.885,-0.763
24,-0.0071,0.6643,0.6965,-28.84,7.534,-1.733
25,-0.0083,0.6604,0.7134,-27.916,9.817,-2.527
26,-0.0173,0.645,0.7227,-23.74,8.824,-2.55
27,-0.0164,0.6438,0.7271,-19.359,6.603,-2.069
28,-0.0093,0.6428,0.729,-17.863,7.87,-2.336
29,-0.0193,0.6426,0.7329,-17.145,8.702,-2.771
30,-0.0232,0.624,0.7344,-13.107,6.282,-1.672
31,-0.0234,0.6201,0.7222,-8.55,4.015,-1.168
32,-0.021,0.624,0.7017,-10.45,3.298,-0.313
33,-0.0271,0.6177,0.709,-15.351,2.573,0.0
34,-0.0242,0.615,0.7222,-18.275,0.328,1.153
35,-0.0212,0.6108,0.7327,-18.756,-0.794,1.45
36,-0.0125,0.6069,0.7363,-18.359,0.137,1.214
37,-0.0164,0.6033,0.7568,-18.481,0.924,0.847
38,-0.0134,0.5942,0.7598,-16.55,2.206,0.504
39,-0.0125,0.5918,0.7776,-11.557,2.13,0.13
40,-0.0168,0.5884,0.7703,-5.153,0.519,0.573
41,-0.0159,0.5918,0.7605,-2.573,-0.45,1.29
42,-0.0129,0.585,0.7427,-3.115,-0.229,1.748
43,-0.0066,0.5813,0.7412,-5.374,-0.313,1.87
44,-0.0027,0.5847,0.7515,-8.466,0.618,1.115
45,-0.0037,0.5808,0.7407,-10.87,2.985,-0.542
46,-0.0029,0.574,0.7495,-14.534,5.969,-1.847
47,-0.0071,0.5759,0.7656,-16.374,10.084,-4.214
48,-0.0139,0.5635,0.7783,-14.679,11.443,-5.29
49,-0.0239,0.5625,0.7915,-9.588,8.992,-3.008
