i,ax,ay,az,gx,gy,gz
0,0.2605,-0.467,-0.9341,1.198,4.389,-0.137
1,0.2544,-0.4648,-0.9287,0.427,3.519,0.015
2,0.2476,-0.4646,-0.928,-0.244,3.489,-0.168
3,0.2561,-0.467,-0.9409,-1.092,4.817,0.13
4,0.26,-0.4666,-0.9319,-1.145,4.756,-0.053
5,0.2573,-0.4663,-0.9346,-0.214,3.053,-0.183
6,0.2534,-0.4722,-0.9231,0.954,3.29,0.0
7,0.2639,-0.4727,-0.9287,1.198,4.771,0.603
8,0.2598,-0.4656,-0.9282,0.817,4.351,0.679
9,0.2512,-0.4731,-0.9109,0.374,2.763,0.382
10,0.2527,-0.4807,-0.9285,-0.603,2.626,-0.214
11,0.2539,-0.4812,-0.9307,-1.389,3.206,-0.13
12,0.2542,-0.4756,-0.9358,-0.45,3.084,-0.061
13,0.2542,-0.4734,-0.9182,-0.061,2.336,-0.237
14,0.2576,-0.4683,-0.9272,-0.931,3.305,0.397
15,0.26,-0.4709,-0.9238,-1.336,2.641,-0.053
16,0.2439,-0.4629,-0.9219,-1.176,1.489,0.015
17,0.2449,-0.4651,-0.9224,-0.397,2.878,0.008
18,0.2522,-0.458,-0.9277,-0.756,4.939,0.229
19,0.2539,-0.4607,-0.9299,-1.008,3.611,0.092
20,0.2507,-0.4673,-0.9299,-0.679,2.099,0.015
21,0.2595,-0.4688,-0.9312,0.191,3.588,0.145
22,0.2583,-0.4661,-0.9473,-0.733,5.023,-0.053
23,0.2532,-0.4688,-0.9331,-0.45,2.74,-0.672
24,0.2437,-0.4651,-0.9285,0.611,3.038,-0.939
25,0.2483,-0.4622,-0.9419,-0.55,3.916,-0.763
26,0.2498,-0.4656,-0.9238,-1.802,2.702,-0.893
27,0.2532,-0.4675,-0.9275,-2.221,2.092,-1.206
28,0.2629,-0.4746,-0.9358,-1.168,2.618,-0.588
29,0.2654,-0.4832,-0.9302,-0.122,1.664,-0.618
30,0.2544,-0.4768,-0.9194,0.786,0.229,-0.656
31,0.2542,-0.4712,-0.9241,1.626,1.458,-0.221
32,0.2432,-0.4639,-0.9348,0.137,4.71,0.229
33,0.2446,-0.4565,-0.9353,-1.977,4.534,-0.015
34,0.248,-0.4546,-0.939,-2.443,3.832,-0.298
35,0.2498,-0.4585,-0.9385,-1.244,3.321,-0.458
36,0.2583,-0.4614,-0.925,-0.489,3.252,-0.374
37,0.262,-0.4631,-0.9326,0.695,2.046,-0.382
38,0.2578,-0.4646,-0.9324,1.695,0.992,-0.397
39,0.2544,-0.4663,-0.9304,1.405,1.695,-0.16
40,0.2517,-0.4663,-0.9307,0.374,1.702,-0.305
41,0.24,-0.4714,-0.9214,-0.183,1.084,-0.649
42,0.2454,-0.4739,-0.9277,-0.817,2.924,-0.489
43,0.2546,-0.4797,-0.9243,-1.496,3.916,-0.519
44,0.2515,-0.4753,-0.9294,-1.16,2.137,-0.573
45,0.2446,-0.4717,-0.9336,0.023,1.58,-1.015
46,0.2485,-0.4653,-0.9399,0.023,3.397,-0.328
47,0.2524,-0.4604,-0.9458,-0.519,4.473,0.115
48,0.248,-0.4585,-0.9292,-0.443,2.122,-0.389
49,0.2458,-0.4629,-0.9451,-0.435,3.13,-0.443
