i,ax,ay,az,gx,gy,gz
0,0.1833,-0.3484,-1.0066,0.359,3.16,-0.435
1,0.1848,-0.3467,-0.9941,0.298,3.008,-0.221
2,0.1838,-0.3491,-1.0027,-0.252,2.885,-0.237
3,0.1814,-0.3428,-0.9988,-0.313,2.489,-0.13
4,0.1814,-0.3481,-0.9858,-0.351,2.756,-0.55
5,0.1882,-0.3459,-0.9976,0.008,2.931,-0.183
6,0.1909,-0.3477,-0.999,-0.122,2.824,-0.496
7,0.1792,-0.3479,-1.0056,-0.13,2.863,-0.328
8,0.1821,-0.3499,-1.0034,0.115,3.168,-0.313
9,0.179,-0.3513,-1.009,0.107,4.107,-0.351
10,0.1833,-0.3469,-0.989,0.328,3.405,-0.656
11,0.1897,-0.342,-0.9924,0.351,2.962,-0.389
12,0.1865,-0.344,-1.0024,-0.45,2.74,-0.168
13,0.1877,-0.3467,-1.0022,-0.992,3.328,-0.198
14,0.1829,-0.3469,-1.0032,-0.924,2.916,0.023
15,0.1782,-0.3525,-1.0049,-0.573,2.466,-0.282
16,0.1794,-0.3481,-0.9915,-0.053,2.702,-0.763
17,0.1816,-0.3481,-0.9922,-0.244,3.389,-0.878
18,0.1843,-0.3433,-1.0032,-0.611,2.855,-0.603
19,0.1855,-0.3425,-1.0,-1.031,2.725,-0.496
20,0.1865,-0.3418,-1.0073,-1.176,1.885,-0.069
21,0.1797,-0.3418,-0.9973,-1.008,1.504,0.168
22,0.177,-0.345,-1.0081,-1.198,1.443,-0.237
23,0.1748,-0.3423,-0.9973,-1.534,1.519,-0.542
24,0.179,-0.3435,-1.0032,-1.992,1.702,-0.511
25,0.1846,-0.3438,-1.0105,-2.344,2.374,-0.786
26,0.1868,-0.3391,-1.0059,-2.71,2.42,-0.565
27,0.1885,-0.3435,-1.0076,-2.42,1.733,-0.534
28,0.1838,-0.3386,-1.0049,-1.611,1.374,-0.557
29,0.1794,-0.3408,-1.0024,-1.229,1.328,-0.122
30,0.1763,-0.3452,-1.0046,-1.45,1.206,-0.626
31,0.1709,-0.3423,-1.0056,-1.359,2.115,-0.542
32,0.1768,-0.3394,-1.0142,-1.069,2.534,-0.084
33,0.1794,-0.3384,-0.9985,-1.58,3.427,-0.962
34,0.1829,-0.3428,-1.0154,-1.29,3.588,-0.832
35,0.1836,-0.3435,-1.0107,-1.153,3.275,-0.885
36,0.1821,-0.3372,-1.0073,-0.099,3.069,-0.534
37,0.1758,-0.3386,-1.0083,0.42,3.183,-0.534
38,0.1765,-0.3364,-1.0054,0.084,3.435,-0.55
39,0.1775,-0.3296,-1.0063,-0.29,3.611,-0.618
40,0.1755,-0.3323,-1.0076,-1.008,3.214,-0.489
41,0.1772,-0.3293,-1.0005,-1.29,2.733,-0.748
42,0.1748,-0.333,-1.0117,-1.26,2.229,-0.725
43,0.1787,-0.3311,-1.0166,-1.023,2.374,-0.557
44,0.177,-0.3352,-1.0098,-0.786,2.603,-0.229
45,0.1814,-0.3345,-1.0081,-1.611,3.168,-0.366
46,0.176,-0.3289,-1.002,-1.053,2.427,-0.351
47,0.1809,-0.3335,-1.0046,-0.481,1.344,-0.344
48,0.1843,-0.3289,-1.0039,-1.344,1.45,0.0
49,0.1816,-0.3313,-1.0149,-2.84,2.389,-0.626
