i,ax,ay,az,gx,gy,gz
0,0.2148,-0.3452,-0.9912,-0.962,2.221,-0.641
1,0.2122,-0.3479,-0.991,-0.504,2.458,-0.137
2,0.2134,-0.3391,-0.9917,-0.626,2.649,-0.107
3,0.2097,-0.3457,-0.9897,-0.649,2.244,-0.252
4,0.2112,-0.3491,-0.9739,-0.718,1.809,-0.252
5,0.2134,-0.3445,-0.9963,-0.458,1.588,-0.244
6,0.2092,-0.3445,-1.0007,-0.634,2.397,-0.237
7,0.209,-0.344,-1.0112,-0.504,3.511,0.015
8,0.209,-0.3423,-1.0071,0.16,3.084,-0.336
9,0.2104,-0.343,-1.001,0.176,2.534,-0.313
10,0.2095,-0.3403,-1.0002,0.275,2.55,-0.489
11,0.2095,-0.345,-1.001,-0.023,2.359,-0.603
12,0.2144,-0.3462,-1.0022,-0.252,2.29,-0.527
13,0.2144,-0.3491,-0.9946,-0.733,2.527,-0.374
14,0.2141,-0.3503,-0.9966,-0.527,2.847,-0.145
15,0.2102,-0.3513,-0.9958,0.603,3.229,-0.26
16,0.2126,-0.344,-0.9895,0.771,2.809,-0.237
17,0.2146,-0.3398,-0.9946,0.695,3.084,-0.328
18,0.2122,-0.3394,-0.9927,0.267,2.527,-0.427
19,0.2085,-0.3396,-0.9995,-0.298,2.305,-0.511
20,0.2085,-0.3438,-1.0007,-0.962,2.809,-0.511
21,0.209,-0.3464,-1.0076,-0.939,3.702,-0.489
22,0.2122,-0.3435,-0.9998,-0.351,2.832,-0.313
23,0.2131,-0.3364,-0.9905,0.718,2.588,-0.473
24,0.2166,-0.3345,-0.9883,0.756,2.664,-0.008
25,0.2136,-0.3396,-1.0078,0.092,3.282,-0.053
26,0.209,-0.3459,-1.0042,-0.13,2.786,-0.466
27,0.2043,-0.3447,-1.002,-0.687,1.695,-0.573
28,0.2068,-0.3462,-0.9939,-0.756,2.031,-0.687
29,0.209,-0.3516,-0.9978,-0.481,3.359,-0.573
30,0.2131,-0.3445,-0.9998,-0.206,4.366,-0.71
31,0.2168,-0.3445,-1.0037,-0.321,3.603,-0.305
32,0.2192,-0.343,-1.0063,0.649,2.992,0.008
33,0.2146,-0.3376,-0.9937,0.939,2.534,-0.252
34,0.2102,-0.3428,-0.9961,0.855,2.84,-0.145
35,0.2009,-0.3438,-0.9939,0.305,3.29,-0.313
36,0.2043,-0.3442,-0.9861,-0.275,2.832,-0.573
37,0.2087,-0.3433,-0.9949,-0.573,2.855,-0.374
38,0.2107,-0.3428,-0.9976,-0.489,2.496,-0.427
39,0.2104,-0.3403,-0.998,-0.099,3.153,-0.191
40,0.2112,-0.3442,-1.0022,0.58,3.076,-0.084
41,0.2129,-0.3435,-0.9978,0.649,2.74,-0.366
42,0.2107,-0.3464,-0.999,0.0,2.611,-0.252
43,0.2061,-0.3447,-0.9932,-0.183,2.992,-0.336
44,0.2053,-0.3474,-0.9966,-0.237,3.145,-0.382
45,0.2124,-0.3435,-1.0059,0.046,3.176,-0.405
46,0.2119,-0.342,-0.9917,0.389,2.802,-0.237
47,0.209,-0.3423,-0.9988,0.153,2.618,-0.55
48,0.2085,-0.3396,-1.0044,0.069,2.473,-0.298
49,0.2046,-0.3452,-0.9973,-0.053,2.672,-0.328
