i,ax,ay,az,gx,gy,gz
0,-0.0088,0.196,0.927,0.389,2.252,-0.267
1,0.0027,0.1995,0.926,-0.153,2.046,-0.191
2,-0.002,0.1973,0.9233,-0.076,2.779,-0.153
3,0.0007,0.1968,0.9304,0.969,3.405,-0.237
4,-0.0042,0.1975,0.9226,2.115,3.466,-0.176
5,0.001,0.197,0.9153,1.802,2.603,-0.061
6,0.0005,0.1992,0.9265,1.046,2.618,-0.267
7,-0.0007,0.2012,0.9243,-1.076,2.885,-0.275
8,-0.001,0.2002,0.9153,-2.458,3.534,-0.55
9,-0.0002,0.1951,0.9243,-2.542,3.916,-0.87
10,-0.002,0.1975,0.9338,-0.527,4.26,-0.656
11,-0.0068,0.1929,0.9368,1.145,3.679,-0.328
12,-0.0039,0.1978,0.9241,1.145,2.496,-0.099
13,0.0012,0.1987,0.918,0.664,2.504,-0.267
14,-0.0017,0.2,0.9292,0.573,3.618,-0.893
15,-0.0046,0.1948,0.929,0.435,3.191,-0.168
16,-0.0027,0.2002,0.9189,-0.031,2.947,-0.084
17,-0.0024,0.196,0.9258,0.557,3.115,-0.756
18,0.0,0.198,0.9331,1.992,3.359,-0.634
19,-0.001,0.1987,0.936,3.359,3.42,-0.275
20,-0.0073,0.1982,0.918,3.038,2.427,0.137
21,-0.0017,0.2039,0.9187,0.901,1.656,0.344
22,-0.0007,0.2034,0.9214,-1.641,1.725,-0.069
23,0.0015,0.2,0.9275,-3.137,2.405,-0.611
24,-0.001,0.2007,0.9336,-3.046,2.237,-0.618
25,-0.0049,0.1931,0.9346,-1.802,2.305,-0.504
26,-0.0027,0.196,0.9407,0.74,2.427,-0.435
27,-0.0005,0.196,0.9343,3.053,2.534,0.053
28,0.0024,0.1975,0.9214,2.71,2.496,-0.206
29,0.0046,0.2002,0.9153,-0.015,3.435,-0.366
30,0.0039,0.1982,0.9258,-0.977,3.947,-1.198
31,-0.0032,0.2002,0.9331,-1.947,4.015,-1.107
32,-0.0054,0.197,0.9248,-2.137,3.298,-0.931
33,-0.002,0.1963,0.9194,-3.351,2.809,-0.45
34,0.0024,0.1931,0.9263,-3.977,3.282,-0.611
35,-0.0056,0.1943,0.9331,-3.389,4.695,-0.985
36,-0.0005,0.1909,0.9353,-3.023,4.458,-0.656
37,-0.0015,0.1929,0.9297,-2.008,3.695,-0.817
38,-0.0044,0.1926,0.9275,-2.282,3.771,-1.107
39,-0.0056,0.1941,0.936,-1.672,4.206,-1.092
40,-0.0063,0.1924,0.9294,-0.313,3.634,-0.481
41,-0.0029,0.1909,0.9285,0.504,2.878,-0.435
42,-0.0032,0.1936,0.9229,-0.214,2.427,-0.55
43,-0.002,0.1924,0.9297,0.26,2.397,-0.198
44,-0.0042,0.189,0.9263,0.992,2.962,-0.191
45,0.0005,0.1904,0.9209,1.359,2.496,-0.092
46,0.0029,0.1948,0.9182,0.702,2.221,-0.557
47,-0.0022,0.1917,0.9258,0.137,3.344,-0.878
48,-0.0024,0.197,0.937,-0.076,3.023,-0.527
49,-0.0005,0.1912,0.9194,-0.817,2.565,-0.427
